"sale_code","barcode"
"579043","7891317422028"
"579043","7896004733241"
"579050","7896222720863"
"579053","7896658000089"
"579053","7896422506236"
"579053","7891058022181"
"579053","7896422504744"
"579053","7891058002961"
"579053","7896641812545"
"579056","1234564A"
"579056","7898687730920"
"579057","7896224410137"
"579057","7891106914642"
"579057","7899547506839"
"579057","7896523227566"
"579057","7898939082616"
"579059","7896422504126"
"579059","4005900921635"
"579059","7898148294121"
"579071","7896222720863"
"579077","78938830"
"579077","7896306623202"
"579077","7896306623448"
"579077","78909434"
"579078","7898087700097"
"579080","7891182016247"
"579080","7891010695415"
"579080","7896138700614"
"579080","7891010504755"
"579080","7896224410649"
"579080","7898125712174"
"579092","0000023384248"
"579092","7891317422028"
"579092","7896212478750"
"579097","0000023384248"
"579097","1234564A"
"579104","7896641810695"
"579104","4005900715814"
"579104","7891268400113"
"579104","7891268187144"
"579112","7891000249239"
"579112","7899970401183"
"579112","78909434"
"579112","7896306619458"
"579112","80052487"
"579112","7899970401206"
"579117","7896227800829"
"579121","7896004703398"
"579121","7891058002916"
"579125","78936867"
"579125","7896523200576"
"579126","7898087700110"
"579126","7891000405703"
"579132","7896523206110"
"579132","7896014146437"
"579132","1234564A"
"579135","7891317001636"
"579135","7896015591809"
"579135","7896094201392"
"579137","7898039565453"
"579137","7899852001630"
"579138","7896094921849"
"579138","7896235353287"
"579138","4005900921635"
"579138","7898039565453"
"579138","4005808837311"
"579138","7891010247409"
"579138","4005808315697"
"579138","7896213306076"
"579139","1111111111111A"
"579141","7896023776472"
"579141","7896112132974"
"579141","7898198860291"
"579141","7891268187144"
"579142","7891317172657"
"579142","7896523227573"
"579151","7897572001596"
"579151","0000023384248"
"579152","7908007905478"
"579154","7896658001901"
"579154","7896138700386"
"579161","0000023384248"
"579161","7896004760995"
"579164","7896006208266"
"579164","7891150075283"
"579164","7891150075306"
"579164","7896213306076"
"579164","7896235353911"
"579175","7896422507400"
"579175","7896714207551"
"579185","7891317460532"
"579185","78904231"
"579188","7908007905478"
