antecedent,consequent,confidence,lift,support
"['7898018412556', '7893736010053', '7891721020148', '7894900011517']",['7896004726151'],1.0,48.0,0.020833333333333332
"['7898018412556', '7893736010053', '7891721020148', '7894900011517']",['7896422505680'],1.0,48.0,0.020833333333333332
"['7898018412556', '7893736010053', '7891721020148', '7894900011517']",['7896422506434'],1.0,48.0,0.020833333333333332
"['7898018412556', '7893736010053', '7891721020148', '7894900011517']",['7898018410187'],1.0,48.0,0.020833333333333332
"['7898468503729', '7891024037348', '7896902209114']",['7898108612477'],1.0,48.0,0.020833333333333332
"['7896004726151', '7893736010053', '7896422505680', '7891721020148']",['7898018412556'],1.0,48.0,0.020833333333333332
"['7896004726151', '7893736010053', '7896422505680', '7891721020148']",['7894900011517'],1.0,48.0,0.020833333333333332
"['7896004726151', '7893736010053', '7896422505680', '7891721020148']",['7896422506434'],1.0,48.0,0.020833333333333332
"['7896004726151', '7893736010053', '7896422505680', '7891721020148']",['7898018410187'],1.0,48.0,0.020833333333333332
"['7893736010053', '7896422505680', '7898018410187', '7891721020148', '7894900011517']",['7898018412556'],1.0,48.0,0.020833333333333332
"['7893736010053', '7896422505680', '7898018410187', '7891721020148', '7894900011517']",['7896004726151'],1.0,48.0,0.020833333333333332
"['7893736010053', '7896422505680', '7898018410187', '7891721020148', '7894900011517']",['7896422506434'],1.0,48.0,0.020833333333333332
"['7891317455569', '7898049793310']",['7898639693402'],1.0,48.0,0.020833333333333332
"['7891317455569', '7898049793310']",['7891058000295'],1.0,48.0,0.020833333333333332
"['7891317455569', '7898049793310']",['7891317127725'],1.0,48.0,0.020833333333333332
"['7896422505680', '7891721020148', '7894900011517']",['7896422506434'],1.0,48.0,0.020833333333333332
"['7896422505680', '7891721020148', '7894900011517']",['7898018410187'],1.0,48.0,0.020833333333333332
"['7896422505680', '7891721020148', '7894900011517']",['7898018412556'],1.0,48.0,0.020833333333333332
"['7896422505680', '7891721020148', '7894900011517']",['7896004726151'],1.0,48.0,0.020833333333333332
"['7896422505680', '7891721020148', '7894900011517']",['7893736010053'],1.0,48.0,0.020833333333333332
"['7898018412556', '7896004726151', '7891721020148', '7894900011517']",['7896422505680'],1.0,48.0,0.020833333333333332
"['7898018412556', '7896004726151', '7891721020148', '7894900011517']",['7896422506434'],1.0,48.0,0.020833333333333332
"['7898018412556', '7896004726151', '7891721020148', '7894900011517']",['7893736010053'],1.0,48.0,0.020833333333333332
"['7898018412556', '7896004726151', '7891721020148', '7894900011517']",['7898018410187'],1.0,48.0,0.020833333333333332
"['7898018412556', '7896004726151', '7896422505680', '7894900011517', '7899620915039']",['7891721020148'],1.0,48.0,0.020833333333333332
"['7898018412556', '7896004726151', '7896422505680', '7894900011517', '7899620915039']",['7896422506434'],1.0,48.0,0.020833333333333332
"['7898018412556', '7896004726151', '7896422505680', '7894900011517', '7899620915039']",['7898018410187'],1.0,48.0,0.020833333333333332
"['7898018412556', '7896004726151', '7896422505680', '7894900011517', '7899620915039']",['7893736010053'],1.0,48.0,0.020833333333333332
"['7898018412556', '7896004726151', '7894900011517', '7899620915039']",['7896422505680'],1.0,48.0,0.020833333333333332
"['7898018412556', '7896004726151', '7894900011517', '7899620915039']",['7891721020148'],1.0,48.0,0.020833333333333332
"['7898018412556', '7896004726151', '7894900011517', '7899620915039']",['7896422506434'],1.0,48.0,0.020833333333333332
"['7898018412556', '7896004726151', '7894900011517', '7899620915039']",['7893736010053'],1.0,48.0,0.020833333333333332
"['7898018412556', '7896004726151', '7894900011517', '7899620915039']",['7898018410187'],1.0,48.0,0.020833333333333332
"['7898018412556', '7894900011517', '7899620915039']",['7896422505680'],1.0,48.0,0.020833333333333332
"['7898018412556', '7894900011517', '7899620915039']",['7891721020148'],1.0,48.0,0.020833333333333332
"['7898018412556', '7894900011517', '7899620915039']",['7896422506434'],1.0,48.0,0.020833333333333332
"['7898018412556', '7894900011517', '7899620915039']",['7896004726151'],1.0,48.0,0.020833333333333332
"['7898018412556', '7894900011517', '7899620915039']",['7893736010053'],1.0,48.0,0.020833333333333332
"['7898018412556', '7894900011517', '7899620915039']",['7898018410187'],1.0,48.0,0.020833333333333332
"['7898018412556', '7896422506434', '7898018410187', '7894900011517', '7899620915039']",['7896422505680'],1.0,48.0,0.020833333333333332
"['7898018412556', '7896422506434', '7898018410187', '7894900011517', '7899620915039']",['7891721020148'],1.0,48.0,0.020833333333333332
"['7898018412556', '7896422506434', '7898018410187', '7894900011517', '7899620915039']",['7896004726151'],1.0,48.0,0.020833333333333332
"['7898018412556', '7896422506434', '7898018410187', '7894900011517', '7899620915039']",['7893736010053'],1.0,48.0,0.020833333333333332
"['7898018412556', '7893736010053', '7896422505680', '7894900011517', '7899620915039']",['7896004726151'],1.0,48.0,0.020833333333333332
"['7898018412556', '7893736010053', '7896422505680', '7894900011517', '7899620915039']",['7891721020148'],1.0,48.0,0.020833333333333332
"['7898018412556', '7893736010053', '7896422505680', '7894900011517', '7899620915039']",['7896422506434'],1.0,48.0,0.020833333333333332
"['7898018412556', '7893736010053', '7896422505680', '7894900011517', '7899620915039']",['7898018410187'],1.0,48.0,0.020833333333333332
"['7896422506434', '7898018410187', '7891721020148', '7894900011517', '7899620915039']",['7896422505680'],1.0,48.0,0.020833333333333332
"['7896422506434', '7898018410187', '7891721020148', '7894900011517', '7899620915039']",['7898018412556'],1.0,48.0,0.020833333333333332
"['7896422506434', '7898018410187', '7891721020148', '7894900011517', '7899620915039']",['7896004726151'],1.0,48.0,0.020833333333333332
"['7896422506434', '7898018410187', '7891721020148', '7894900011517', '7899620915039']",['7893736010053'],1.0,48.0,0.020833333333333332
"['7898018412556', '7896422505680', '7896422506434', '7891721020148']",['7894900011517'],1.0,48.0,0.020833333333333332
"['7898018412556', '7896422505680', '7896422506434', '7891721020148']",['7898018410187'],1.0,48.0,0.020833333333333332
"['7898018412556', '7896422505680', '7896422506434', '7891721020148']",['7896004726151'],1.0,48.0,0.020833333333333332
"['7898018412556', '7896422505680', '7896422506434', '7891721020148']",['7893736010053'],1.0,48.0,0.020833333333333332
"['7898018412556', '7896004726151', '7893736010053', '7896422505680', '7899620915039']",['7891721020148'],1.0,48.0,0.020833333333333332
"['7898018412556', '7896004726151', '7893736010053', '7896422505680', '7899620915039']",['7894900011517'],1.0,48.0,0.020833333333333332
"['7898018412556', '7896004726151', '7893736010053', '7896422505680', '7899620915039']",['7896422506434'],1.0,48.0,0.020833333333333332
"['7898018412556', '7896004726151', '7893736010053', '7896422505680', '7899620915039']",['7898018410187'],1.0,48.0,0.020833333333333332
"['7898146824450', '7891721201806']",['7897917005203'],1.0,48.0,0.020833333333333332
"['7898018412556', '7893736010053', '7896422505680', '7896422506434', '7894900011517']",['7896004726151'],1.0,48.0,0.020833333333333332
"['7898018412556', '7893736010053', '7896422505680', '7896422506434', '7894900011517']",['7891721020148'],1.0,48.0,0.020833333333333332
"['7898018412556', '7893736010053', '7896422505680', '7896422506434', '7894900011517']",['7898018410187'],1.0,48.0,0.020833333333333332
"['7898018412556', '7898018410187']",['7896422505680'],1.0,48.0,0.020833333333333332
