freq,items
5,['7899620915039']
5,['7896714231143']
4,['7896714226705']
3,['7891721201806']
2,['7898039564449']
2,['7896422519229']
2,"['7896422519229', '7898039564449']"
2,['7891058002961']
2,['7896004703398']
2,['7898133131011']
2,['7891317425869']
2,['7891000062661']
2,['7896015511166']
2,['7897595602572']
2,['7891058002916']
2,['7896902209114']
1,['7894916149662']
1,"['7894916149662', '7896714226705']"
1,['7891010253691']
1,"['7891010253691', '7898039564449']"
1,"['7891010253691', '7896422519229']"
1,"['7891010253691', '7896422519229', '7898039564449']"
1,"['7891010253691', '7896830500147']"
1,"['7891010253691', '7896830500147', '7898039564449']"
1,"['7891010253691', '7896830500147', '7896422519229']"
1,"['7891010253691', '7896830500147', '7896422519229', '7898039564449']"
1,['7896676406108']
1,"['7896676406108', '7896094921399']"
1,['17894900530008']
1,['7898108612477']
1,"['7898108612477', '7891024037348']"
1,"['7898108612477', '7891024037348', '7896902209114']"
1,"['7898108612477', '7898468503729']"
1,"['7898108612477', '7898468503729', '7891024037348']"
1,"['7898108612477', '7898468503729', '7891024037348', '7896902209114']"
1,"['7898108612477', '7898468503729', '7896902209114']"
1,"['7898108612477', '7896902209114']"
1,['7891010504779']
1,['7896523200576']
1,"['7896523200576', '17894900530008']"
1,"['7896523200576', '7896595410248']"
1,"['7896523200576', '7896595410248', '17894900530008']"
1,['7896094912472']
1,"['7896094912472', '7891058002961']"
1,"['7896094912472', '7896012880289']"
1,"['7896094912472', '7896012880289', '7891058002961']"
1,['7894900113563']
1,['7896422505680']
1,"['7896422505680', '7891721020148']"
1,"['7896422505680', '7891721020148', '7894900011517']"
1,"['7896422505680', '7891721020148', '7894900011517', '7899620915039']"
1,"['7896422505680', '7891721020148', '7899620915039']"
1,"['7896422505680', '7894900011517']"
1,"['7896422505680', '7894900011517', '7899620915039']"
1,"['7896422505680', '7896422506434']"
1,"['7896422505680', '7896422506434', '7891721020148']"
1,"['7896422505680', '7896422506434', '7891721020148', '7894900011517']"
1,"['7896422505680', '7896422506434', '7891721020148', '7894900011517', '7899620915039']"
1,"['7896422505680', '7896422506434', '7891721020148', '7899620915039']"
1,"['7896422505680', '7896422506434', '7894900011517']"
1,"['7896422505680', '7896422506434', '7894900011517', '7899620915039']"
1,"['7896422505680', '7896422506434', '7899620915039']"
1,"['7896422505680', '7896422506434', '7898018410187']"
1,"['7896422505680', '7896422506434', '7898018410187', '7891721020148']"
1,"['7896422505680', '7896422506434', '7898018410187', '7891721020148', '7894900011517']"
1,"['7896422505680', '7896422506434', '7898018410187', '7891721020148', '7894900011517', '7899620915039']"
1,"['7896422505680', '7896422506434', '7898018410187', '7891721020148', '7899620915039']"
1,"['7896422505680', '7896422506434', '7898018410187', '7894900011517']"
1,"['7896422505680', '7896422506434', '7898018410187', '7894900011517', '7899620915039']"
1,"['7896422505680', '7896422506434', '7898018410187', '7899620915039']"
1,"['7896422505680', '7899620915039']"
1,"['7896422505680', '7898018410187']"
1,"['7896422505680', '7898018410187', '7891721020148']"
1,"['7896422505680', '7898018410187', '7891721020148', '7894900011517']"
1,"['7896422505680', '7898018410187', '7891721020148', '7894900011517', '7899620915039']"
1,"['7896422505680', '7898018410187', '7891721020148', '7899620915039']"
1,"['7896422505680', '7898018410187', '7894900011517']"
1,"['7896422505680', '7898018410187', '7894900011517', '7899620915039']"
1,"['7896422505680', '7898018410187', '7899620915039']"
1,['7891721020148']
1,"['7891721020148', '7894900011517']"
1,"['7891721020148', '7894900011517', '7899620915039']"
1,"['7891721020148', '7899620915039']"
1,['7891721020506']
1,['7898936110558']
1,"['7898936110558', '17894900530008']"
1,"['7898936110558', '7896523200576']"
1,"['7898936110558', '7896523200576', '17894900530008']"
1,"['7898936110558', '7896523200576', '7896595410248']"
1,"['7898936110558', '7896523200576', '7896595410248', '17894900530008']"
1,"['7898936110558', '7896595410248']"
1,"['7898936110558', '7896595410248', '17894900530008']"
1,['7898018412556']
1,"['7898018412556', '7896422505680']"
1,"['7898018412556', '7896422505680', '7891721020148']"
1,"['7898018412556', '7896422505680', '7891721020148', '7894900011517']"
1,"['7898018412556', '7896422505680', '7891721020148', '7894900011517', '7899620915039']"
1,"['7898018412556', '7896422505680', '7891721020148', '7899620915039']"
1,"['7898018412556', '7896422505680', '7894900011517']"
1,"['7898018412556', '7896422505680', '7894900011517', '7899620915039']"
1,"['7898018412556', '7896422505680', '7896422506434']"
1,"['7898018412556', '7896422505680', '7896422506434', '7891721020148']"
1,"['7898018412556', '7896422505680', '7896422506434', '7891721020148', '7894900011517']"
1,"['7898018412556', '7896422505680', '7896422506434', '7891721020148', '7894900011517', '7899620915039']"
1,"['7898018412556', '7896422505680', '7896422506434', '7891721020148', '7899620915039']"
1,"['7898018412556', '7896422505680', '7896422506434', '7894900011517']"
1,"['7898018412556', '7896422505680', '7896422506434', '7894900011517', '7899620915039']"
1,"['7898018412556', '7896422505680', '7896422506434', '7899620915039']"
1,"['7898018412556', '7896422505680', '7896422506434', '7898018410187']"
1,"['7898018412556', '7896422505680', '7896422506434', '7898018410187', '7891721020148']"
1,"['7898018412556', '7896422505680', '7896422506434', '7898018410187', '7891721020148', '7894900011517']"
1,"['7898018412556', '7896422505680', '7896422506434', '7898018410187', '7891721020148', '7894900011517', '7899620915039']"
1,"['7898018412556', '7896422505680', '7896422506434', '7898018410187', '7891721020148', '7899620915039']"
1,"['7898018412556', '7896422505680', '7896422506434', '7898018410187', '7894900011517']"
1,"['7898018412556', '7896422505680', '7896422506434', '7898018410187', '7894900011517', '7899620915039']"
1,"['7898018412556', '7896422505680', '7896422506434', '7898018410187', '7899620915039']"
1,"['7898018412556', '7896422505680', '7899620915039']"
