sale_code,items,prediction
105472,['7898049790180'],[]
105476,['7891721201806'],"['7897917005203', '7898146824450']"
105537,['7891463000347'],[]
105613,"['7896023728761', '7899620915039']","['7896422505680', '7891721020148', '7898018412556', '7894900011517', '7896422506434', '7896004726151', '7893736010053', '7896422505741', '7898018410187']"
105515,"['7896714211978', '7891317425869']",['7897595602572']
105513,['7898133131011'],[]
105798,['7896714226705'],"['7894916149662', '7896641810244', '7896094903104']"
105586,['7897595602572'],['7891317425869']
105835,"['7896714226705', '7894916149662']","['7896641810244', '7896094903104']"
105453,"['7891317127725', '7891058000295', '7891317455569', '7898639693402', '7898049793310']",[]
105889,"['7898936110558', '7896523200576', '7896595410248', '17894900530008']",[]
105853,['7896714231143'],[]
105528,['7896714231143'],[]
105451,['7896658001901'],[]
105867,"['7896422505741', '7899620915039']","['7896422505680', '7891721020148', '7898018412556', '7894900011517', '7896422506434', '7896004726151', '7893736010053', '7898018410187', '7896023728761']"
105815,"['7896422505680', '7893736010053', '7896422506434', '7894900011517', '7898018412556', '7898018410187', '7891721020148', '7899620915039', '7896004726151']","['7896422505741', '7896023728761']"
105804,['7896714231143'],[]
105821,"['7896422519229', '7891000103487', '7896012880265', '7898039564449', '7896422504478']","['7891010253691', '7899700800828', '7896830500147']"
105882,['7896015511166'],[]
105858,"['7896676406108', '7896094921399', '7891024112861']",[]
105574,['7891721201806'],"['7897917005203', '7898146824450']"
105845,"['7899700800828', '7896422519229', '7891010253691', '7896830500147', '7898039564449']","['7896422504478', '7896012880265', '7891000103487']"
105602,"['7891058002916', '7896422507349']",[]
105494,['7896015511166'],[]
105446,"['7894900113563', '7896212478750', '7894900123562']",[]
105614,['7891721020506'],[]
105553,['7896714226705'],"['7894916149662', '7896641810244', '7896094903104']"
105868,"['7896902209114', '7898067950955', '7892840215217']","['7898108612477', '7891024037348', '7898468503729']"
105823,['7899620915039'],"['7896422505680', '7891721020148', '7898018412556', '7894900011517', '7896422506434', '7896004726151', '7893736010053', '7896422505741', '7898018410187', '7896023728761']"
105474,"['7898146824450', '7891721201806', '7897917005203']",[]
105831,"['7896004703398', '7896714201498']",['7896110011141']
105874,"['7896012880289', '7891058002961', '7891522200107', '7896094912472']",['7896070601871']
105829,"['7896110011141', '7896004703398']",['7896714201498']
105532,['7896714231143'],[]
105573,"['7891010249953', '7891000062661']",['7908032300439']
105562,['7891058001155'],[]
105811,"['7896641810244', '7896714226705', '7896094903104']",['7894916149662']
105824,['7899620915039'],"['7896422505680', '7891721020148', '7898018412556', '7894900011517', '7896422506434', '7896004726151', '7893736010053', '7896422505741', '7898018410187', '7896023728761']"
105579,"['7891058000165', '7896641804465']",[]
105600,"['7896422504454', '7896112149415']",[]
105449,"['7898468503729', '7896902209114', '7898108612477', '7891024037348']","['7892840215217', '7898067950955']"
105797,['7891010504779'],[]
105857,['7896714231143'],[]
105526,"['7891000062661', '7908032300439']",['7891010249953']
105487,"['7891058002961', '7896070601871']","['7896094912472', '7891522200107', '7896012880289']"
105512,"['7891317425869', '7897595602572']",['7896714211978']
105480,['7891058002916'],['7896422507349']
105810,['7898133131011'],[]
