antecedent,consequent,confidence,lift,support
"['7891024135310', '7896150008842', '7896512905420', '7898958060862', '7896902210646']",['7891010032906'],1.0,19.0,0.05263157894736842
"['7891024135310', '7896150008842', '7896512905420', '7898958060862', '7896902210646']",['7500435180290'],1.0,19.0,0.05263157894736842
"['7891024135310', '7896150008842', '7896512905420', '7898958060862', '7896902210646']",['7891010027858'],1.0,19.0,0.05263157894736842
"['7891024135310', '7896150008842', '7896512905420', '7898958060862', '7896902210646']",['7791969016036'],1.0,19.0,0.05263157894736842
"['7891024135310', '7896150008842', '7896512905420', '7898958060862', '7896902210646']",['4005900498205'],1.0,19.0,0.05263157894736842
"['7891024135310', '7896150008842', '7896512905420', '7898958060862', '7896902210646']",['7898958060848'],1.0,19.0,0.05263157894736842
"['4005900498205', '7500435180290', '7891010032906', '7891010027858', '7896512905420']",['7891024135310'],1.0,19.0,0.05263157894736842
"['4005900498205', '7500435180290', '7891010032906', '7891010027858', '7896512905420']",['7896902210646'],1.0,19.0,0.05263157894736842
"['4005900498205', '7500435180290', '7891010032906', '7891010027858', '7896512905420']",['7898958060862'],1.0,19.0,0.05263157894736842
"['4005900498205', '7500435180290', '7891010032906', '7891010027858', '7896512905420']",['7791969016036'],1.0,19.0,0.05263157894736842
"['4005900498205', '7500435180290', '7891010032906', '7891010027858', '7896512905420']",['7896150008842'],1.0,19.0,0.05263157894736842
"['4005900498205', '7500435180290', '7891010032906', '7891010027858', '7896512905420']",['7898958060848'],1.0,19.0,0.05263157894736842
"['4005900498205', '7891010032906', '7896512905420', '7791969016036']",['7891024135310'],1.0,19.0,0.05263157894736842
"['4005900498205', '7891010032906', '7896512905420', '7791969016036']",['7891010027858'],1.0,19.0,0.05263157894736842
"['4005900498205', '7891010032906', '7896512905420', '7791969016036']",['7896150008842'],1.0,19.0,0.05263157894736842
"['4005900498205', '7891010032906', '7896512905420', '7791969016036']",['7896902210646'],1.0,19.0,0.05263157894736842
"['4005900498205', '7891010032906', '7896512905420', '7791969016036']",['7898958060862'],1.0,19.0,0.05263157894736842
