freq,items
3,['7891010589639']
3,"['7891010589639', '310119052440']"
3,"['7891010589639', '310119052440', '3504105035617']"
3,"['7891010589639', '3504105035617']"
3,['310119052440']
3,"['310119052440', '3504105035617']"
3,['3504105035617']
2,['7896422504454']
2,"['7896422504454', '7891010781668']"
2,"['7896422504454', '7891010781668', '7891317002503']"
2,"['7896422504454', '7891010781668', '7891317002503', '7891024174180']"
2,"['7896422504454', '7891010781668', '7891024174180']"
2,"['7896422504454', '7891317002503']"
2,"['7896422504454', '7891317002503', '7891024174180']"
2,"['7896422504454', '7898039563732']"
2,"['7896422504454', '7898039563732', '7891010781668']"
2,"['7896422504454', '7898039563732', '7891010781668', '7891317002503']"
2,"['7896422504454', '7898039563732', '7891010781668', '7891317002503', '7891024174180']"
2,"['7896422504454', '7898039563732', '7891010781668', '7891024174180']"
2,"['7896422504454', '7898039563732', '7891317002503']"
2,"['7896422504454', '7898039563732', '7891317002503', '7891024174180']"
2,"['7896422504454', '7898039563732', '7891024174180']"
2,"['7896422504454', '7898039563732', '7909690729426']"
2,"['7896422504454', '7898039563732', '7909690729426', '7891010781668']"
2,"['7896422504454', '7898039563732', '7909690729426', '7891010781668', '7891317002503']"
2,"['7896422504454', '7898039563732', '7909690729426', '7891010781668', '7891317002503', '7891024174180']"
2,"['7896422504454', '7898039563732', '7909690729426', '7891010781668', '7891024174180']"
2,"['7896422504454', '7898039563732', '7909690729426', '7891317002503']"
2,"['7896422504454', '7898039563732', '7909690729426', '7891317002503', '7891024174180']"
2,"['7896422504454', '7898039563732', '7909690729426', '7891024174180']"
2,"['7896422504454', '7891024174180']"
2,"['7896422504454', '7909690729426']"
2,"['7896422504454', '7909690729426', '7891010781668']"
2,"['7896422504454', '7909690729426', '7891010781668', '7891317002503']"
2,"['7896422504454', '7909690729426', '7891010781668', '7891317002503', '7891024174180']"
2,"['7896422504454', '7909690729426', '7891010781668', '7891024174180']"
2,"['7896422504454', '7909690729426', '7891317002503']"
2,"['7896422504454', '7909690729426', '7891317002503', '7891024174180']"
2,"['7896422504454', '7909690729426', '7891024174180']"
2,['7891010781668']
2,"['7891010781668', '7891317002503']"
2,"['7891010781668', '7891317002503', '7891024174180']"
2,"['7891010781668', '7891024174180']"
2,['7891317002503']
2,"['7891317002503', '7891024174180']"
2,['7898039563732']
2,"['7898039563732', '7891010781668']"
2,"['7898039563732', '7891010781668', '7891317002503']"
2,"['7898039563732', '7891010781668', '7891317002503', '7891024174180']"
2,"['7898039563732', '7891010781668', '7891024174180']"
2,"['7898039563732', '7891317002503']"
2,"['7898039563732', '7891317002503', '7891024174180']"
2,"['7898039563732', '7891024174180']"
2,"['7898039563732', '7909690729426']"
2,"['7898039563732', '7909690729426', '7891010781668']"
2,"['7898039563732', '7909690729426', '7891010781668', '7891317002503']"
2,"['7898039563732', '7909690729426', '7891010781668', '7891317002503', '7891024174180']"
2,"['7898039563732', '7909690729426', '7891010781668', '7891024174180']"
2,"['7898039563732', '7909690729426', '7891317002503']"
2,"['7898039563732', '7909690729426', '7891317002503', '7891024174180']"
2,"['7898039563732', '7909690729426', '7891024174180']"
2,['7898039564968']
2,"['7898039564968', '7896422504454']"
2,"['7898039564968', '7896422504454', '7891010781668']"
2,"['7898039564968', '7896422504454', '7891010781668', '7891317002503']"
2,"['7898039564968', '7896422504454', '7891010781668', '7891317002503', '7891024174180']"
2,"['7898039564968', '7896422504454', '7891010781668', '7891024174180']"
2,"['7898039564968', '7896422504454', '7891317002503']"
2,"['7898039564968', '7896422504454', '7891317002503', '7891024174180']"
2,"['7898039564968', '7896422504454', '7898039563732']"
2,"['7898039564968', '7896422504454', '7898039563732', '7891010781668']"
2,"['7898039564968', '7896422504454', '7898039563732', '7891010781668', '7891317002503']"
2,"['7898039564968', '7896422504454', '7898039563732', '7891010781668', '7891317002503', '7891024174180']"
2,"['7898039564968', '7896422504454', '7898039563732', '7891010781668', '7891024174180']"
2,"['7898039564968', '7896422504454', '7898039563732', '7891317002503']"
2,"['7898039564968', '7896422504454', '7898039563732', '7891317002503', '7891024174180']"
2,"['7898039564968', '7896422504454', '7898039563732', '7891024174180']"
2,"['7898039564968', '7896422504454', '7898039563732', '7909690729426']"
2,"['7898039564968', '7896422504454', '7898039563732', '7909690729426', '7891010781668']"
2,"['7898039564968', '7896422504454', '7898039563732', '7909690729426', '7891010781668', '7891317002503']"
2,"['7898039564968', '7896422504454', '7898039563732', '7909690729426', '7891010781668', '7891317002503', '7891024174180']"
2,"['7898039564968', '7896422504454', '7898039563732', '7909690729426', '7891010781668', '7891024174180']"
2,"['7898039564968', '7896422504454', '7898039563732', '7909690729426', '7891317002503']"
2,"['7898039564968', '7896422504454', '7898039563732', '7909690729426', '7891317002503', '7891024174180']"
2,"['7898039564968', '7896422504454', '7898039563732', '7909690729426', '7891024174180']"
2,"['7898039564968', '7896422504454', '7891024174180']"
2,"['7898039564968', '7896422504454', '7909690729426']"
2,"['7898039564968', '7896422504454', '7909690729426', '7891010781668']"
2,"['7898039564968', '7896422504454', '7909690729426', '7891010781668', '7891317002503']"
2,"['7898039564968', '7896422504454', '7909690729426', '7891010781668', '7891317002503', '7891024174180']"
2,"['7898039564968', '7896422504454', '7909690729426', '7891010781668', '7891024174180']"
2,"['7898039564968', '7896422504454', '7909690729426', '7891317002503']"
2,"['7898039564968', '7896422504454', '7909690729426', '7891317002503', '7891024174180']"
2,"['7898039564968', '7896422504454', '7909690729426', '7891024174180']"
2,"['7898039564968', '7891010781668']"
2,"['7898039564968', '7891010781668', '7891317002503']"
2,"['7898039564968', '7891010781668', '7891317002503', '7891024174180']"
2,"['7898039564968', '7891010781668', '7891024174180']"
2,"['7898039564968', '7891317002503']"
2,"['7898039564968', '7891317002503', '7891024174180']"
2,"['7898039564968', '7898039563732']"
2,"['7898039564968', '7898039563732', '7891010781668']"
2,"['7898039564968', '7898039563732', '7891010781668', '7891317002503']"
2,"['7898039564968', '7898039563732', '7891010781668', '7891317002503', '7891024174180']"
2,"['7898039564968', '7898039563732', '7891010781668', '7891024174180']"
2,"['7898039564968', '7898039563732', '7891317002503']"
2,"['7898039564968', '7898039563732', '7891317002503', '7891024174180']"
2,"['7898039564968', '7898039563732', '7891024174180']"
2,"['7898039564968', '7898039563732', '7909690729426']"
2,"['7898039564968', '7898039563732', '7909690729426', '7891010781668']"
2,"['7898039564968', '7898039563732', '7909690729426', '7891010781668', '7891317002503']"
2,"['7898039564968', '7898039563732', '7909690729426', '7891010781668', '7891317002503', '7891024174180']"
2,"['7898039564968', '7898039563732', '7909690729426', '7891010781668', '7891024174180']"
2,"['7898039564968', '7898039563732', '7909690729426', '7891317002503']"
2,"['7898039564968', '7898039563732', '7909690729426', '7891317002503', '7891024174180']"
2,"['7898039564968', '7898039563732', '7909690729426', '7891024174180']"
2,"['7898039564968', '7891010036478']"
2,"['7898039564968', '7891010036478', '7896422504454']"
2,"['7898039564968', '7891010036478', '7896422504454', '7891010781668']"
2,"['7898039564968', '7891010036478', '7896422504454', '7891010781668', '7891317002503']"
2,"['7898039564968', '7891010036478', '7896422504454', '7891010781668', '7891317002503', '7891024174180']"
2,"['7898039564968', '7891010036478', '7896422504454', '7891010781668', '7891024174180']"
2,"['7898039564968', '7891010036478', '7896422504454', '7891317002503']"
2,"['7898039564968', '7891010036478', '7896422504454', '7891317002503', '7891024174180']"
2,"['7898039564968', '7891010036478', '7896422504454', '7898039563732']"
2,"['7898039564968', '7891010036478', '7896422504454', '7898039563732', '7891010781668']"
2,"['7898039564968', '7891010036478', '7896422504454', '7898039563732', '7891010781668', '7891317002503']"
2,"['7898039564968', '7891010036478', '7896422504454', '7898039563732', '7891010781668', '7891317002503', '7891024174180']"
2,"['7898039564968', '7891010036478', '7896422504454', '7898039563732', '7891010781668', '7891024174180']"
2,"['7898039564968', '7891010036478', '7896422504454', '7898039563732', '7891317002503']"
2,"['7898039564968', '7891010036478', '7896422504454', '7898039563732', '7891317002503', '7891024174180']"
2,"['7898039564968', '7891010036478', '7896422504454', '7898039563732', '7891024174180']"
2,"['7898039564968', '7891010036478', '7896422504454', '7898039563732', '7909690729426']"
2,"['7898039564968', '7891010036478', '7896422504454', '7898039563732', '7909690729426', '7891010781668']"
2,"['7898039564968', '7891010036478', '7896422504454', '7898039563732', '7909690729426', '7891010781668', '7891317002503']"
2,"['7898039564968', '7891010036478', '7896422504454', '7898039563732', '7909690729426', '7891010781668', '7891317002503', '7891024174180']"
2,"['7898039564968', '7891010036478', '7896422504454', '7898039563732', '7909690729426', '7891010781668', '7891024174180']"
