sale_code,items,prediction
590863,"['7891010589639', '3504105035617', '310119052440']",[]
590335,"['7896902215788', '7896007551088']",[]
591083,"['7891317124038', '7896026306188', '7891317120863', '7891010032241', '7891721025334', '7896281152018']",[]
590487,['7896061995903'],[]
590866,"['7891010589639', '3504105035617', '310119052440']",[]
591925,['7896061995910'],[]
591900,"['7896512904621', '7897411601505', '1111111111111A']",[]
592140,['7891010247324'],[]
590359,"['7896422504454', '7898039563732', '7891010781668', '7909690729426', '7891317002503', '7891010036478', '7898039564968', '7891024174180']",[]
590588,"['7891010253691', '7893736012798', '7896094905825', '7891150021709']",[]
591748,"['7896523206288', '7891142177056', '7891010875640', '1234564A', '7891142177032', '7896004720937', '7891058017507']",[]
590867,"['7896033292979', '7898994914600']",[]
590330,['7896007549634'],[]
591875,"['7896007545100', '7896663301317', '7891010871031', '7898430192913']",[]
591465,"['7500435180290', '7896150008842', '7891024135310', '7791969016036', '4005900498205', '7898958060862', '7891010032906', '7896902210646', '7891010027858', '7898958060848', '7896512905420']",[]
590604,"['7896018703636', '7896007548392', '7500435127370', '7891024008799', '7895800304235']",[]
590357,"['7896422504454', '7898039563732', '7891010781668', '7909690729426', '7891317002503', '7891010036478', '7898039564968', '7891024174180']",[]
590871,"['7891010589639', '3504105035617', '310119052440']",[]
590587,"['7896094922334', '7896015511166', '7891058022815', '7896094903104', '7891010579265']",[]
