antecedent,consequent,confidence,lift,support
"['7891317004286', '8902220109544', '7896023720833', '7896023733765']",['7896226108926'],1.0,15.0,0.06666666666666667
"['7896226108926', '8902220109544']",['7891317004286'],1.0,15.0,0.06666666666666667
"['7898593050716', '7896111996249', '7898949409458']",['7896111913802'],1.0,15.0,0.06666666666666667
"['7898593050716', '7896111996249', '7898949409458']",['7896111913789'],1.0,15.0,0.06666666666666667
"['7898593050716', '7896111996249', '7898949409458']",['731509975000'],1.0,15.0,0.06666666666666667
"['7898593050716', '7896111996249', '7896111913789', '7898949409458', '731509975000', '7896023732935']",['7896111913802'],1.0,15.0,0.06666666666666667
"['7896658003981', '7612412422672', '7896212410057', '7891721028335']",['7896023716973'],1.0,15.0,0.06666666666666667
['7891010579616'],['7898593052208'],1.0,15.0,0.06666666666666667
['7891010579616'],['7891010035631'],1.0,15.0,0.06666666666666667
"['7898946435535', '7896902207523', '7896023720833']",['7896014140527'],1.0,15.0,0.06666666666666667
"['731509975000', '7896023732935']",['7896111913802'],1.0,15.0,0.06666666666666667
"['731509975000', '7896023732935']",['7896111996249'],1.0,15.0,0.06666666666666667
"['731509975000', '7896023732935']",['7896111913789'],1.0,15.0,0.06666666666666667
"['731509975000', '7896023732935']",['7898593050716'],1.0,15.0,0.06666666666666667
"['731509975000', '7896023732935']",['7898949409458'],1.0,15.0,0.06666666666666667
"['5702191007985', '7896044963509', '7896023733765']",['7896094207844'],1.0,15.0,0.06666666666666667
"['5702191007985', '7896044963509', '7896023733765']",['7896770980030'],1.0,15.0,0.06666666666666667
"['7896111913802', '731509975000', '7896023732935']",['7896111996249'],1.0,15.0,0.06666666666666667
"['7896111913802', '731509975000', '7896023732935']",['7896111913789'],1.0,15.0,0.06666666666666667
"['7896111913802', '731509975000', '7896023732935']",['7898593050716'],1.0,15.0,0.06666666666666667
"['7896111913802', '731509975000', '7896023732935']",['7898949409458'],1.0,15.0,0.06666666666666667
"['7896111913802', '7898593050716', '731509975000', '7896023732935']",['7896111996249'],1.0,15.0,0.06666666666666667
"['7896111913802', '7898593050716', '731509975000', '7896023732935']",['7896111913789'],1.0,15.0,0.06666666666666667
"['7896111913802', '7898593050716', '731509975000', '7896023732935']",['7898949409458'],1.0,15.0,0.06666666666666667
"['7896770980030', '7896094207844']",['7896044963509'],1.0,15.0,0.06666666666666667
"['7896770980030', '7896094207844']",['5702191007985'],1.0,15.0,0.06666666666666667
"['7896422519229', '7896023776373', '7896523216454']",['7891058004668'],1.0,15.0,0.06666666666666667
"['7896226108926', '7896023720833']",['7891317004286'],1.0,15.0,0.06666666666666667
"['7896212410057', '7896023716973']",['7896658003981'],1.0,15.0,0.06666666666666667
"['7896212410057', '7896023716973']",['7612412422672'],1.0,15.0,0.06666666666666667
"['7896212410057', '7896023716973']",['7891721028335'],1.0,15.0,0.06666666666666667
"['7891176117349', '7896023776373']",['7896306622380'],1.0,15.0,0.06666666666666667
"['7891010035631', '7898593052208']",['7891010579616'],1.0,15.0,0.06666666666666667
"['5702191007985', '7896770980030', '7896023733765']",['7896044963509'],1.0,15.0,0.06666666666666667
"['5702191007985', '7896770980030', '7896023733765']",['7896094207844'],1.0,15.0,0.06666666666666667
"['7896111913802', '7896111996249']",['731509975000'],1.0,15.0,0.06666666666666667
"['7896111913802', '7896111996249']",['7896111913789'],1.0,15.0,0.06666666666666667
"['7896111913802', '7896111996249']",['7898949409458'],1.0,15.0,0.06666666666666667
"['7896111913802', '7896111996249']",['7898593050716'],1.0,15.0,0.06666666666666667
"['7896902207523', '7896023720833', '7896023729287']",['7896014140527'],1.0,15.0,0.06666666666666667
"['7896902207523', '7896023720833', '7896023729287']",['7898946435535'],1.0,15.0,0.06666666666666667
"['7896111913802', '7896111913789']",['7896111996249'],1.0,15.0,0.06666666666666667
"['7896111913802', '7896111913789']",['731509975000'],1.0,15.0,0.06666666666666667
"['7896111913802', '7896111913789']",['7898949409458'],1.0,15.0,0.06666666666666667
"['7896111913802', '7896111913789']",['7898593050716'],1.0,15.0,0.06666666666666667
"['7891010035631', '7896023732935']",['7898593052208'],1.0,15.0,0.06666666666666667
