freq,items
6,['7896023733765']
4,['7896023732935']
3,['7896023729287']
2,['7896023776373']
2,['7896523216454']
2,['8902220109544']
2,['7896023731891']
2,['7896023720833']
1,['7896226108926']
1,"['7896226108926', '7891317004286']"
1,"['7896226108926', '7891317004286', '8902220109544']"
1,"['7896226108926', '7891317004286', '8902220109544', '7896023731891']"
1,"['7896226108926', '7891317004286', '8902220109544', '7896023731891', '7896023733765']"
1,"['7896226108926', '7891317004286', '8902220109544', '7896023720833']"
1,"['7896226108926', '7891317004286', '8902220109544', '7896023720833', '7896023731891']"
1,"['7896226108926', '7891317004286', '8902220109544', '7896023720833', '7896023731891', '7896023733765']"
1,"['7896226108926', '7891317004286', '8902220109544', '7896023720833', '7896023733765']"
1,"['7896226108926', '7891317004286', '8902220109544', '7896023733765']"
1,"['7896226108926', '7891317004286', '7896023731891']"
1,"['7896226108926', '7891317004286', '7896023731891', '7896023733765']"
1,"['7896226108926', '7891317004286', '7896023720833']"
1,"['7896226108926', '7891317004286', '7896023720833', '7896023731891']"
1,"['7896226108926', '7891317004286', '7896023720833', '7896023731891', '7896023733765']"
1,"['7896226108926', '7891317004286', '7896023720833', '7896023733765']"
1,"['7896226108926', '7891317004286', '7896023733765']"
1,"['7896226108926', '8902220109544']"
1,"['7896226108926', '8902220109544', '7896023731891']"
1,"['7896226108926', '8902220109544', '7896023731891', '7896023733765']"
1,"['7896226108926', '8902220109544', '7896023720833']"
1,"['7896226108926', '8902220109544', '7896023720833', '7896023731891']"
1,"['7896226108926', '8902220109544', '7896023720833', '7896023731891', '7896023733765']"
1,"['7896226108926', '8902220109544', '7896023720833', '7896023733765']"
1,"['7896226108926', '8902220109544', '7896023733765']"
1,"['7896226108926', '7896023731891']"
1,"['7896226108926', '7896023731891', '7896023733765']"
1,"['7896226108926', '7896023720833']"
1,"['7896226108926', '7896023720833', '7896023731891']"
1,"['7896226108926', '7896023720833', '7896023731891', '7896023733765']"
1,"['7896226108926', '7896023720833', '7896023733765']"
1,"['7896226108926', '7896023733765']"
1,['7896111913802']
1,"['7896111913802', '731509975000']"
1,"['7896111913802', '731509975000', '7896023732935']"
1,"['7896111913802', '7896111996249']"
1,"['7896111913802', '7896111996249', '731509975000']"
1,"['7896111913802', '7896111996249', '731509975000', '7896023732935']"
1,"['7896111913802', '7896111996249', '7896111913789']"
1,"['7896111913802', '7896111996249', '7896111913789', '731509975000']"
1,"['7896111913802', '7896111996249', '7896111913789', '731509975000', '7896023732935']"
1,"['7896111913802', '7896111996249', '7896111913789', '7896023732935']"
1,"['7896111913802', '7896111996249', '7896111913789', '7898949409458']"
1,"['7896111913802', '7896111996249', '7896111913789', '7898949409458', '731509975000']"
1,"['7896111913802', '7896111996249', '7896111913789', '7898949409458', '731509975000', '7896023732935']"
1,"['7896111913802', '7896111996249', '7896111913789', '7898949409458', '7896023732935']"
1,"['7896111913802', '7896111996249', '7896023732935']"
1,"['7896111913802', '7896111996249', '7898949409458']"
1,"['7896111913802', '7896111996249', '7898949409458', '731509975000']"
1,"['7896111913802', '7896111996249', '7898949409458', '731509975000', '7896023732935']"
1,"['7896111913802', '7896111996249', '7898949409458', '7896023732935']"
1,"['7896111913802', '7896111913789']"
1,"['7896111913802', '7896111913789', '731509975000']"
1,"['7896111913802', '7896111913789', '731509975000', '7896023732935']"
1,"['7896111913802', '7896111913789', '7896023732935']"
1,"['7896111913802', '7896111913789', '7898949409458']"
1,"['7896111913802', '7896111913789', '7898949409458', '731509975000']"
1,"['7896111913802', '7896111913789', '7898949409458', '731509975000', '7896023732935']"
1,"['7896111913802', '7896111913789', '7898949409458', '7896023732935']"
1,"['7896111913802', '7896023732935']"
1,"['7896111913802', '7898593050716']"
1,"['7896111913802', '7898593050716', '731509975000']"
1,"['7896111913802', '7898593050716', '731509975000', '7896023732935']"
1,"['7896111913802', '7898593050716', '7896111996249']"
1,"['7896111913802', '7898593050716', '7896111996249', '731509975000']"
1,"['7896111913802', '7898593050716', '7896111996249', '731509975000', '7896023732935']"
1,"['7896111913802', '7898593050716', '7896111996249', '7896111913789']"
1,"['7896111913802', '7898593050716', '7896111996249', '7896111913789', '731509975000']"
1,"['7896111913802', '7898593050716', '7896111996249', '7896111913789', '731509975000', '7896023732935']"
1,"['7896111913802', '7898593050716', '7896111996249', '7896111913789', '7896023732935']"
1,"['7896111913802', '7898593050716', '7896111996249', '7896111913789', '7898949409458']"
1,"['7896111913802', '7898593050716', '7896111996249', '7896111913789', '7898949409458', '731509975000']"
1,"['7896111913802', '7898593050716', '7896111996249', '7896111913789', '7898949409458', '731509975000', '7896023732935']"
1,"['7896111913802', '7898593050716', '7896111996249', '7896111913789', '7898949409458', '7896023732935']"
