antecedent,consequent,confidence,lift,support
"['7896637023047', '7896658027604', '7896226109305', '7896004709307', '7896637032209', '0000023384248']",['7896112452690'],1.0,28.0,0.03571428571428571
"['7896637023047', '7896658027604', '7896226109305', '7896004709307', '7896637032209', '0000023384248']",['7891721019890'],1.0,28.0,0.03571428571428571
['7500435132350'],['7500435181297'],1.0,28.0,0.03571428571428571
['7500435132350'],['7500435132381'],1.0,28.0,0.03571428571428571
['7896422515535'],['7891317427542'],1.0,28.0,0.03571428571428571
"['7896112452690', '7896658027604', '7896004709307', '0000023384248']",['7896637023047'],1.0,28.0,0.03571428571428571
"['7896112452690', '7896658027604', '7896004709307', '0000023384248']",['7896637032209'],1.0,28.0,0.03571428571428571
"['7896112452690', '7896658027604', '7896004709307', '0000023384248']",['7891721019890'],1.0,28.0,0.03571428571428571
"['7896112452690', '7896658027604', '7896004709307', '0000023384248']",['7896226109305'],1.0,28.0,0.03571428571428571
"['3253581706084', '0000023384248']",['3253581600627'],1.0,28.0,0.03571428571428571
"['7896641810695', '7896094910683']",['78911222'],1.0,28.0,0.03571428571428571
"['7896637023047', '7896004709307', '7896637032209']",['7896112452690'],1.0,28.0,0.03571428571428571
"['7896637023047', '7896004709307', '7896637032209']",['7896658027604'],1.0,28.0,0.03571428571428571
"['7896637023047', '7896004709307', '7896637032209']",['7891721019890'],1.0,28.0,0.03571428571428571
"['7896637023047', '7896004709307', '7896637032209']",['7896226109305'],1.0,28.0,0.03571428571428571
"['7896112452690', '7896226109305']",['7896637023047'],1.0,28.0,0.03571428571428571
"['7896112452690', '7896226109305']",['7896658027604'],1.0,28.0,0.03571428571428571
"['7896112452690', '7896226109305']",['7896637032209'],1.0,28.0,0.03571428571428571
"['7896112452690', '7896226109305']",['7896004709307'],1.0,28.0,0.03571428571428571
"['7896112452690', '7896226109305']",['7891721019890'],1.0,28.0,0.03571428571428571
"['7896226109305', '7896004709307', '7896637032209', '7891721019890', '0000023384248']",['7896637023047'],1.0,28.0,0.03571428571428571
"['7896226109305', '7896004709307', '7896637032209', '7891721019890', '0000023384248']",['7896112452690'],1.0,28.0,0.03571428571428571
"['7896226109305', '7896004709307', '7896637032209', '7891721019890', '0000023384248']",['7896658027604'],1.0,28.0,0.03571428571428571
"['7500435132350', '0000023384248']",['7500435181297'],1.0,28.0,0.03571428571428571
"['7500435132350', '0000023384248']",['7500435132381'],1.0,28.0,0.03571428571428571
"['7896112452690', '7896226109305', '7896004709307', '7891721019890']",['7896637023047'],1.0,28.0,0.03571428571428571
"['7896112452690', '7896226109305', '7896004709307', '7891721019890']",['7896658027604'],1.0,28.0,0.03571428571428571
"['7896112452690', '7896226109305', '7896004709307', '7891721019890']",['7896637032209'],1.0,28.0,0.03571428571428571
"['7896637023047', '7896112452690', '7896658027604', '7896004709307']",['7896637032209'],1.0,28.0,0.03571428571428571
"['7896637023047', '7896112452690', '7896658027604', '7896004709307']",['7891721019890'],1.0,28.0,0.03571428571428571
"['7896637023047', '7896112452690', '7896658027604', '7896004709307']",['7896226109305'],1.0,28.0,0.03571428571428571
"['7896637023047', '7896226109305', '7896004709307', '0000023384248']",['7896112452690'],1.0,28.0,0.03571428571428571
"['7896637023047', '7896226109305', '7896004709307', '0000023384248']",['7896658027604'],1.0,28.0,0.03571428571428571
"['7896637023047', '7896226109305', '7896004709307', '0000023384248']",['7896637032209'],1.0,28.0,0.03571428571428571
"['7896637023047', '7896226109305', '7896004709307', '0000023384248']",['7891721019890'],1.0,28.0,0.03571428571428571
"['7896112452690', '7896226109305', '7891721019890']",['7896637023047'],1.0,28.0,0.03571428571428571
"['7896112452690', '7896226109305', '7891721019890']",['7896658027604'],1.0,28.0,0.03571428571428571
"['7896112452690', '7896226109305', '7891721019890']",['7896637032209'],1.0,28.0,0.03571428571428571
"['7896112452690', '7896226109305', '7891721019890']",['7896004709307'],1.0,28.0,0.03571428571428571
"['7896637023047', '7896658027604', '7896226109305', '7896004709307']",['7896112452690'],1.0,28.0,0.03571428571428571
"['7896637023047', '7896658027604', '7896226109305', '7896004709307']",['7896637032209'],1.0,28.0,0.03571428571428571
"['7896637023047', '7896658027604', '7896226109305', '7896004709307']",['7891721019890'],1.0,28.0,0.03571428571428571
"['7896112452690', '7896658027604', '7896004709307', '7896637032209', '7891721019890', '0000023384248']",['7896637023047'],1.0,28.0,0.03571428571428571
"['7896112452690', '7896658027604', '7896004709307', '7896637032209', '7891721019890', '0000023384248']",['7896226109305'],1.0,28.0,0.03571428571428571
"['7896637023047', '7896658027604', '7896004709307']",['7896112452690'],1.0,28.0,0.03571428571428571
"['7896637023047', '7896658027604', '7896004709307']",['7896637032209'],1.0,28.0,0.03571428571428571
"['7896637023047', '7896658027604', '7896004709307']",['7891721019890'],1.0,28.0,0.03571428571428571
"['7896637023047', '7896658027604', '7896004709307']",['7896226109305'],1.0,28.0,0.03571428571428571
"['7891058168049', '7896422528627']",['7896094203266'],1.0,28.0,0.03571428571428571
"['7896523216461', '7896138700614']",['7896663325115'],1.0,28.0,0.03571428571428571
"['7896226109305', '7896637032209', '0000023384248']",['7896637023047'],1.0,28.0,0.03571428571428571
"['7896226109305', '7896637032209', '0000023384248']",['7896112452690'],1.0,28.0,0.03571428571428571
"['7896226109305', '7896637032209', '0000023384248']",['7896658027604'],1.0,28.0,0.03571428571428571
"['7896226109305', '7896637032209', '0000023384248']",['7891721019890'],1.0,28.0,0.03571428571428571
"['7896226109305', '7896637032209', '0000023384248']",['7896004709307'],1.0,28.0,0.03571428571428571
"['7896714219318', '7896714207551', '0000023384248']",['7896331704808'],1.0,28.0,0.03571428571428571
"['7896422507950', '7896004706474', '0000023384248']",['7891058002657'],1.0,28.0,0.03571428571428571
"['7896422507950', '7896004706474', '0000023384248']",['7898940257393'],1.0,28.0,0.03571428571428571
"['7896637023047', '7896112452690', '7896226109305', '7896004709307', '7896637032209', '0000023384248']",['7896658027604'],1.0,28.0,0.03571428571428571
"['7896637023047', '7896112452690', '7896226109305', '7896004709307', '7896637032209', '0000023384248']",['7891721019890'],1.0,28.0,0.03571428571428571
"['7896112452690', '7896658027604', '7891721019890', '0000023384248']",['7896637023047'],1.0,28.0,0.03571428571428571
"['7896112452690', '7896658027604', '7891721019890', '0000023384248']",['7896637032209'],1.0,28.0,0.03571428571428571
"['7896112452690', '7896658027604', '7891721019890', '0000023384248']",['7896004709307'],1.0,28.0,0.03571428571428571
"['7896112452690', '7896658027604', '7891721019890', '0000023384248']",['7896226109305'],1.0,28.0,0.03571428571428571
"['7896523216461', '0000023384248']",['7896663325115'],1.0,28.0,0.03571428571428571
"['7896523216461', '0000023384248']",['7896138700614'],1.0,28.0,0.03571428571428571
"['7896637023047', '7896112452690', '7896658027604', '7896226109305', '7896004709307', '7896637032209']",['7891721019890'],1.0,28.0,0.03571428571428571
"['7896637023047', '7896658027604', '7896637032209', '7891721019890']",['7896112452690'],1.0,28.0,0.03571428571428571
"['7896637023047', '7896658027604', '7896637032209', '7891721019890']",['7896004709307'],1.0,28.0,0.03571428571428571
"['7896637023047', '7896658027604', '7896637032209', '7891721019890']",['7896226109305'],1.0,28.0,0.03571428571428571
['7896663325115'],['7896138700614'],1.0,28.0,0.03571428571428571
['7896663325115'],['7896523216461'],1.0,28.0,0.03571428571428571
"['7896637023047', '7896226109305', '7891721019890']",['7896112452690'],1.0,28.0,0.03571428571428571
"['7896637023047', '7896226109305', '7891721019890']",['7896658027604'],1.0,28.0,0.03571428571428571
"['7896637023047', '7896226109305', '7891721019890']",['7896637032209'],1.0,28.0,0.03571428571428571
