freq,items
28,['0000023384248']
2,['7896004769738']
2,"['7896004769738', '0000023384248']"
2,['7891317422028']
2,"['7891317422028', '0000023384248']"
2,['7908007905478']
2,"['7908007905478', '0000023384248']"
1,['7896523216812']
1,"['7896523216812', '0000023384248']"
1,['7891058168049']
1,"['7891058168049', '7896422528627']"
1,"['7891058168049', '7896422528627', '0000023384248']"
1,"['7891058168049', '7896094203266']"
1,"['7891058168049', '7896094203266', '7896422528627']"
1,"['7891058168049', '7896094203266', '7896422528627', '0000023384248']"
1,"['7891058168049', '7896094203266', '0000023384248']"
1,"['7891058168049', '0000023384248']"
1,['7896637023047']
1,"['7896637023047', '7896112452690']"
1,"['7896637023047', '7896112452690', '7896637032209']"
1,"['7896637023047', '7896112452690', '7896637032209', '7891721019890']"
1,"['7896637023047', '7896112452690', '7896637032209', '7891721019890', '0000023384248']"
1,"['7896637023047', '7896112452690', '7896637032209', '0000023384248']"
1,"['7896637023047', '7896112452690', '7896658027604']"
1,"['7896637023047', '7896112452690', '7896658027604', '7896637032209']"
1,"['7896637023047', '7896112452690', '7896658027604', '7896637032209', '7891721019890']"
1,"['7896637023047', '7896112452690', '7896658027604', '7896637032209', '7891721019890', '0000023384248']"
1,"['7896637023047', '7896112452690', '7896658027604', '7896637032209', '0000023384248']"
1,"['7896637023047', '7896112452690', '7896658027604', '7896004709307']"
1,"['7896637023047', '7896112452690', '7896658027604', '7896004709307', '7896637032209']"
1,"['7896637023047', '7896112452690', '7896658027604', '7896004709307', '7896637032209', '7891721019890']"
1,"['7896637023047', '7896112452690', '7896658027604', '7896004709307', '7896637032209', '7891721019890', '0000023384248']"
1,"['7896637023047', '7896112452690', '7896658027604', '7896004709307', '7896637032209', '0000023384248']"
1,"['7896637023047', '7896112452690', '7896658027604', '7896004709307', '7891721019890']"
1,"['7896637023047', '7896112452690', '7896658027604', '7896004709307', '7891721019890', '0000023384248']"
1,"['7896637023047', '7896112452690', '7896658027604', '7896004709307', '0000023384248']"
1,"['7896637023047', '7896112452690', '7896658027604', '7891721019890']"
1,"['7896637023047', '7896112452690', '7896658027604', '7891721019890', '0000023384248']"
1,"['7896637023047', '7896112452690', '7896658027604', '7896226109305']"
1,"['7896637023047', '7896112452690', '7896658027604', '7896226109305', '7896637032209']"
1,"['7896637023047', '7896112452690', '7896658027604', '7896226109305', '7896637032209', '7891721019890']"
1,"['7896637023047', '7896112452690', '7896658027604', '7896226109305', '7896637032209', '7891721019890', '0000023384248']"
1,"['7896637023047', '7896112452690', '7896658027604', '7896226109305', '7896637032209', '0000023384248']"
1,"['7896637023047', '7896112452690', '7896658027604', '7896226109305', '7896004709307']"
1,"['7896637023047', '7896112452690', '7896658027604', '7896226109305', '7896004709307', '7896637032209']"
1,"['7896637023047', '7896112452690', '7896658027604', '7896226109305', '7896004709307', '7896637032209', '7891721019890']"
1,"['7896637023047', '7896112452690', '7896658027604', '7896226109305', '7896004709307', '7896637032209', '7891721019890', '0000023384248']"
1,"['7896637023047', '7896112452690', '7896658027604', '7896226109305', '7896004709307', '7896637032209', '0000023384248']"
1,"['7896637023047', '7896112452690', '7896658027604', '7896226109305', '7896004709307', '7891721019890']"
1,"['7896637023047', '7896112452690', '7896658027604', '7896226109305', '7896004709307', '7891721019890', '0000023384248']"
1,"['7896637023047', '7896112452690', '7896658027604', '7896226109305', '7896004709307', '0000023384248']"
1,"['7896637023047', '7896112452690', '7896658027604', '7896226109305', '7891721019890']"
1,"['7896637023047', '7896112452690', '7896658027604', '7896226109305', '7891721019890', '0000023384248']"
1,"['7896637023047', '7896112452690', '7896658027604', '7896226109305', '0000023384248']"
1,"['7896637023047', '7896112452690', '7896658027604', '0000023384248']"
1,"['7896637023047', '7896112452690', '7896004709307']"
1,"['7896637023047', '7896112452690', '7896004709307', '7896637032209']"
1,"['7896637023047', '7896112452690', '7896004709307', '7896637032209', '7891721019890']"
1,"['7896637023047', '7896112452690', '7896004709307', '7896637032209', '7891721019890', '0000023384248']"
1,"['7896637023047', '7896112452690', '7896004709307', '7896637032209', '0000023384248']"
1,"['7896637023047', '7896112452690', '7896004709307', '7891721019890']"
1,"['7896637023047', '7896112452690', '7896004709307', '7891721019890', '0000023384248']"
1,"['7896637023047', '7896112452690', '7896004709307', '0000023384248']"
1,"['7896637023047', '7896112452690', '7891721019890']"
1,"['7896637023047', '7896112452690', '7891721019890', '0000023384248']"
1,"['7896637023047', '7896112452690', '7896226109305']"
1,"['7896637023047', '7896112452690', '7896226109305', '7896637032209']"
1,"['7896637023047', '7896112452690', '7896226109305', '7896637032209', '7891721019890']"
1,"['7896637023047', '7896112452690', '7896226109305', '7896637032209', '7891721019890', '0000023384248']"
1,"['7896637023047', '7896112452690', '7896226109305', '7896637032209', '0000023384248']"
1,"['7896637023047', '7896112452690', '7896226109305', '7896004709307']"
1,"['7896637023047', '7896112452690', '7896226109305', '7896004709307', '7896637032209']"
1,"['7896637023047', '7896112452690', '7896226109305', '7896004709307', '7896637032209', '7891721019890']"
1,"['7896637023047', '7896112452690', '7896226109305', '7896004709307', '7896637032209', '7891721019890', '0000023384248']"
1,"['7896637023047', '7896112452690', '7896226109305', '7896004709307', '7896637032209', '0000023384248']"
1,"['7896637023047', '7896112452690', '7896226109305', '7896004709307', '7891721019890']"
1,"['7896637023047', '7896112452690', '7896226109305', '7896004709307', '7891721019890', '0000023384248']"
