sale_code,items,prediction
591140,"['7891058168049', '7896422528627', '0000023384248', '7896094203266']","['7896523216812', '7896637023047', '7500435181297', '7896006214441', '7891317015060', '7896112147640', '7896094910683', '7891268402018', '7896112452690', '7896637032209', '7891721019791', '7897411610606', '3253581600627', '7896004713342', '7896004769738', '7896714207551', '3253581706084', '7896663325115', '7896085111129', '78909434', '7500435132350', '7898716450331', '7896658027604', '7898100242757', '7896138700614', '7896111913796', '78911222', '7891317002688', '7500435132381', '7891721019890', '7891058002657', '7891317422028', '7500435106580', '7896004709307', '7896422504454', '7896112101352', '7896422507950', '7896331703443', '7896015511159', '7896714219318', '7896226109305', '7896422515535', '7908007905478', '7896422519830', '7896007549559', '7896523216461', '7891317427542', '78906617', '7898940257393', '7896004706474', '7896641810695', '7896331704808']"
591586,"['0000023384248', '3253581706084', '3253581600627']","['7896523216812', '7891058168049', '7896637023047', '7500435181297', '7896006214441', '7891317015060', '7896112147640', '7896094910683', '7891268402018', '7896112452690', '7896637032209', '7891721019791', '7897411610606', '7896004713342', '7896004769738', '7896714207551', '7896422528627', '7896663325115', '7896094203266', '7896085111129', '78909434', '7500435132350', '7898716450331', '7896658027604', '7898100242757', '7896138700614', '7896111913796', '78911222', '7891317002688', '7500435132381', '7891721019890', '7891058002657', '7891317422028', '7500435106580', '7896004709307', '7896422504454', '7896112101352', '7896422507950', '7896331703443', '7896015511159', '7896714219318', '7896226109305', '7896422515535', '7908007905478', '7896422519830', '7896007549559', '7896523216461', '7891317427542', '78906617', '7898940257393', '7896004706474', '7896641810695', '7896331704808']"
590800,"['0000023384248', '7891268402018']","['7896523216812', '7891058168049', '7896637023047', '7500435181297', '7896006214441', '7891317015060', '7896112147640', '7896094910683', '7896112452690', '7896637032209', '7891721019791', '7897411610606', '3253581600627', '7896004713342', '7896004769738', '7896714207551', '7896422528627', '3253581706084', '7896663325115', '7896094203266', '7896085111129', '78909434', '7500435132350', '7898716450331', '7896658027604', '7898100242757', '7896138700614', '7896111913796', '78911222', '7891317002688', '7500435132381', '7891721019890', '7891058002657', '7891317422028', '7500435106580', '7896004709307', '7896422504454', '7896112101352', '7896422507950', '7896331703443', '7896015511159', '7896714219318', '7896226109305', '7896422515535', '7908007905478', '7896422519830', '7896007549559', '7896523216461', '7891317427542', '78906617', '7898940257393', '7896004706474', '7896641810695', '7896331704808']"
591179,"['7896331704808', '0000023384248', '7896714219318', '7896714207551']","['7896523216812', '7891058168049', '7896637023047', '7500435181297', '7896006214441', '7891317015060', '7896112147640', '7896094910683', '7891268402018', '7896112452690', '7896637032209', '7891721019791', '7897411610606', '3253581600627', '7896004713342', '7896004769738', '7896422528627', '3253581706084', '7896663325115', '7896094203266', '7896085111129', '78909434', '7500435132350', '7898716450331', '7896658027604', '7898100242757', '7896138700614', '7896111913796', '78911222', '7891317002688', '7500435132381', '7891721019890', '7891058002657', '7891317422028', '7500435106580', '7896004709307', '7896422504454', '7896112101352', '7896422507950', '7896331703443', '7896015511159', '7896226109305', '7896422515535', '7908007905478', '7896422519830', '7896007549559', '7896523216461', '7891317427542', '78906617', '7898940257393', '7896004706474', '7896641810695']"
590687,"['0000023384248', '78906617']","['7896523216812', '7891058168049', '7896637023047', '7500435181297', '7896006214441', '7891317015060', '7896112147640', '7896094910683', '7891268402018', '7896112452690', '7896637032209', '7891721019791', '7897411610606', '3253581600627', '7896004713342', '7896004769738', '7896714207551', '7896422528627', '3253581706084', '7896663325115', '7896094203266', '7896085111129', '78909434', '7500435132350', '7898716450331', '7896658027604', '7898100242757', '7896138700614', '7896111913796', '78911222', '7891317002688', '7500435132381', '7891721019890', '7891058002657', '7891317422028', '7500435106580', '7896004709307', '7896422504454', '7896112101352', '7896422507950', '7896331703443', '7896015511159', '7896714219318', '7896226109305', '7896422515535', '7908007905478', '7896422519830', '7896007549559', '7896523216461', '7891317427542', '7898940257393', '7896004706474', '7896641810695', '7896331704808']"
591344,"['0000023384248', '7898716450331']","['7896523216812', '7891058168049', '7896637023047', '7500435181297', '7896006214441', '7891317015060', '7896112147640', '7896094910683', '7891268402018', '7896112452690', '7896637032209', '7891721019791', '7897411610606', '3253581600627', '7896004713342', '7896004769738', '7896714207551', '7896422528627', '3253581706084', '7896663325115', '7896094203266', '7896085111129', '78909434', '7500435132350', '7896658027604', '7898100242757', '7896138700614', '7896111913796', '78911222', '7891317002688', '7500435132381', '7891721019890', '7891058002657', '7891317422028', '7500435106580', '7896004709307', '7896422504454', '7896112101352', '7896422507950', '7896331703443', '7896015511159', '7896714219318', '7896226109305', '7896422515535', '7908007905478', '7896422519830', '7896007549559', '7896523216461', '7891317427542', '78906617', '7898940257393', '7896004706474', '7896641810695', '7896331704808']"
590639,"['7896663325115', '0000023384248', '7896138700614', '7896523216461']","['7896523216812', '7891058168049', '7896637023047', '7500435181297', '7896006214441', '7891317015060', '7896112147640', '7896094910683', '7891268402018', '7896112452690', '7896637032209', '7891721019791', '7897411610606', '3253581600627', '7896004713342', '7896004769738', '7896714207551', '7896422528627', '3253581706084', '7896094203266', '7896085111129', '78909434', '7500435132350', '7898716450331', '7896658027604', '7898100242757', '7896111913796', '78911222', '7891317002688', '7500435132381', '7891721019890', '7891058002657', '7891317422028', '7500435106580', '7896004709307', '7896422504454', '7896112101352', '7896422507950', '7896331703443', '7896015511159', '7896714219318', '7896226109305', '7896422515535', '7908007905478', '7896422519830', '7896007549559', '7891317427542', '78906617', '7898940257393', '7896004706474', '7896641810695', '7896331704808']"
591146,"['0000023384248', '7896331703443']","['7896523216812', '7891058168049', '7896637023047', '7500435181297', '7896006214441', '7891317015060', '7896112147640', '7896094910683', '7891268402018', '7896112452690', '7896637032209', '7891721019791', '7897411610606', '3253581600627', '7896004713342', '7896004769738', '7896714207551', '7896422528627', '3253581706084', '7896663325115', '7896094203266', '7896085111129', '78909434', '7500435132350', '7898716450331', '7896658027604', '7898100242757', '7896138700614', '7896111913796', '78911222', '7891317002688', '7500435132381', '7891721019890', '7891058002657', '7891317422028', '7500435106580', '7896004709307', '7896422504454', '7896112101352', '7896422507950', '7896015511159', '7896714219318', '7896226109305', '7896422515535', '7908007905478', '7896422519830', '7896007549559', '7896523216461', '7891317427542', '78906617', '7898940257393', '7896004706474', '7896641810695', '7896331704808']"
591762,"['7896658027604', '7896112452690', '0000023384248', '7891721019890', '7896637023047', '7896004709307', '7896637032209', '7896226109305']","['7896523216812', '7891058168049', '7500435181297', '7896006214441', '7891317015060', '7896112147640', '7896094910683', '7891268402018', '7891721019791', '7897411610606', '3253581600627', '7896004713342', '7896004769738', '7896714207551', '7896422528627', '3253581706084', '7896663325115', '7896094203266', '7896085111129', '78909434', '7500435132350', '7898716450331', '7898100242757', '7896138700614', '7896111913796', '78911222', '7891317002688', '7500435132381', '7891058002657', '7891317422028', '7500435106580', '7896422504454', '7896112101352', '7896422507950', '7896331703443', '7896015511159', '7896714219318', '7896422515535', '7908007905478', '7896422519830', '7896007549559', '7896523216461', '7891317427542', '78906617', '7898940257393', '7896004706474', '7896641810695', '7896331704808']"
591611,"['0000023384248', '7500435132350', '7500435181297', '7500435132381']","['7896523216812', '7891058168049', '7896637023047', '7896006214441', '7891317015060', '7896112147640', '7896094910683', '7891268402018', '7896112452690', '7896637032209', '7891721019791', '7897411610606', '3253581600627', '7896004713342', '7896004769738', '7896714207551', '7896422528627', '3253581706084', '7896663325115', '7896094203266', '7896085111129', '78909434', '7898716450331', '7896658027604', '7898100242757', '7896138700614', '7896111913796', '78911222', '7891317002688', '7891721019890', '7891058002657', '7891317422028', '7500435106580', '7896004709307', '7896422504454', '7896112101352', '7896422507950', '7896331703443', '7896015511159', '7896714219318', '7896226109305', '7896422515535', '7908007905478', '7896422519830', '7896007549559', '7896523216461', '7891317427542', '78906617', '7898940257393', '7896004706474', '7896641810695', '7896331704808']"
590606,"['78911222', '0000023384248', '7896094910683', '7896641810695']","['7896523216812', '7891058168049', '7896637023047', '7500435181297', '7896006214441', '7891317015060', '7896112147640', '7891268402018', '7896112452690', '7896637032209', '7891721019791', '7897411610606', '3253581600627', '7896004713342', '7896004769738', '7896714207551', '7896422528627', '3253581706084', '7896663325115', '7896094203266', '7896085111129', '78909434', '7500435132350', '7898716450331', '7896658027604', '7898100242757', '7896138700614', '7896111913796', '7891317002688', '7500435132381', '7891721019890', '7891058002657', '7891317422028', '7500435106580', '7896004709307', '7896422504454', '7896112101352', '7896422507950', '7896331703443', '7896015511159', '7896714219318', '7896226109305', '7896422515535', '7908007905478', '7896422519830', '7896007549559', '7896523216461', '7891317427542', '78906617', '7898940257393', '7896004706474', '7896331704808']"
591220,"['0000023384248', '7896004706474', '7891058002657', '7898940257393', '7896422507950']","['7896523216812', '7891058168049', '7896637023047', '7500435181297', '7896006214441', '7891317015060', '7896112147640', '7896094910683', '7891268402018', '7896112452690', '7896637032209', '7891721019791', '7897411610606', '3253581600627', '7896004713342', '7896004769738', '7896714207551', '7896422528627', '3253581706084', '7896663325115', '7896094203266', '7896085111129', '78909434', '7500435132350', '7898716450331', '7896658027604', '7898100242757', '7896138700614', '7896111913796', '78911222', '7891317002688', '7500435132381', '7891721019890', '7891317422028', '7500435106580', '7896004709307', '7896422504454', '7896112101352', '7896331703443', '7896015511159', '7896714219318', '7896226109305', '7896422515535', '7908007905478', '7896422519830', '7896007549559', '7896523216461', '7891317427542', '78906617', '7896641810695', '7896331704808']"
590709,"['0000023384248', '7896112147640', '7891317422028']","['78909434', '7896523216812', '7891058168049', '7896637023047', '7500435181297', '7896006214441', '7891317015060', '7896094910683', '7891268402018', '7896112452690', '7896637032209', '7891721019791', '7897411610606', '3253581600627', '7896004713342', '7896004769738', '7896714207551', '7896422528627', '3253581706084', '7896663325115', '7896094203266', '7896085111129', '7500435132350', '7898716450331', '7896658027604', '7898100242757', '7896138700614', '7896111913796', '78911222', '7891317002688', '7500435132381', '7891721019890', '7891058002657', '7500435106580', '7896004709307', '7896422504454', '7896112101352', '7896422507950', '7896331703443', '7896015511159', '7896714219318', '7896226109305', '7896422515535', '7908007905478', '7896422519830', '7896007549559', '7896523216461', '7891317427542', '78906617', '7898940257393', '7896004706474', '7896641810695', '7896331704808']"
591375,"['0000023384248', '7500435106580']","['7896523216812', '7891058168049', '7896637023047', '7500435181297', '7896006214441', '7891317015060', '7896112147640', '7896094910683', '7891268402018', '7896112452690', '7896637032209', '7891721019791', '7897411610606', '3253581600627', '7896004713342', '7896004769738', '7896714207551', '7896422528627', '3253581706084', '7896663325115', '7896094203266', '7896085111129', '78909434', '7500435132350', '7898716450331', '7896658027604', '7898100242757', '7896138700614', '7896111913796', '78911222', '7891317002688', '7500435132381', '7891721019890', '7891058002657', '7891317422028', '7896004709307', '7896422504454', '7896112101352', '7896422507950', '7896331703443', '7896015511159', '7896714219318', '7896226109305', '7896422515535', '7908007905478', '7896422519830', '7896007549559', '7896523216461', '7891317427542', '78906617', '7898940257393', '7896004706474', '7896641810695', '7896331704808']"
590862,"['0000023384248', '7896523216812']","['7891058168049', '7896637023047', '7500435181297', '7896006214441', '7891317015060', '7896112147640', '7896094910683', '7891268402018', '7896112452690', '7896637032209', '7891721019791', '7897411610606', '3253581600627', '7896004713342', '7896004769738', '7896714207551', '7896422528627', '3253581706084', '7896663325115', '7896094203266', '7896085111129', '78909434', '7500435132350', '7898716450331', '7896658027604', '7898100242757', '7896138700614', '7896111913796', '78911222', '7891317002688', '7500435132381', '7891721019890', '7891058002657', '7891317422028', '7500435106580', '7896004709307', '7896422504454', '7896112101352', '7896422507950', '7896331703443', '7896015511159', '7896714219318', '7896226109305', '7896422515535', '7908007905478', '7896422519830', '7896007549559', '7896523216461', '7891317427542', '78906617', '7898940257393', '7896004706474', '7896641810695', '7896331704808']"
590323,"['7896015511159', '0000023384248', '7896007549559']","['7896523216812', '7891058168049', '7896637023047', '7500435181297', '7896006214441', '7891317015060', '7896112147640', '7896094910683', '7891268402018', '7896112452690', '7896637032209', '7891721019791', '7897411610606', '3253581600627', '7896004713342', '7896004769738', '7896714207551', '7896422528627', '3253581706084', '7896663325115', '7896094203266', '7896085111129', '78909434', '7500435132350', '7898716450331', '7896658027604', '7898100242757', '7896138700614', '7896111913796', '78911222', '7891317002688', '7500435132381', '7891721019890', '7891058002657', '7891317422028', '7500435106580', '7896004709307', '7896422504454', '7896112101352', '7896422507950', '7896331703443', '7896714219318', '7896226109305', '7896422515535', '7908007905478', '7896422519830', '7896523216461', '7891317427542', '78906617', '7898940257393', '7896004706474', '7896641810695', '7896331704808']"
590802,"['78909434', '0000023384248', '7891317422028']","['7896112147640', '7896523216812', '7891058168049', '7896637023047', '7500435181297', '7896006214441', '7891317015060', '7896094910683', '7891268402018', '7896112452690', '7896637032209', '7891721019791', '7897411610606', '3253581600627', '7896004713342', '7896004769738', '7896714207551', '7896422528627', '3253581706084', '7896663325115', '7896094203266', '7896085111129', '7500435132350', '7898716450331', '7896658027604', '7898100242757', '7896138700614', '7896111913796', '78911222', '7891317002688', '7500435132381', '7891721019890', '7891058002657', '7500435106580', '7896004709307', '7896422504454', '7896112101352', '7896422507950', '7896331703443', '7896015511159', '7896714219318', '7896226109305', '7896422515535', '7908007905478', '7896422519830', '7896007549559', '7896523216461', '7891317427542', '78906617', '7898940257393', '7896004706474', '7896641810695', '7896331704808']"
590849,"['7891317002688', '0000023384248']","['7896523216812', '7891058168049', '7896637023047', '7500435181297', '7896006214441', '7891317015060', '7896112147640', '7896094910683', '7891268402018', '7896112452690', '7896637032209', '7891721019791', '7897411610606', '3253581600627', '7896004713342', '7896004769738', '7896714207551', '7896422528627', '3253581706084', '7896663325115', '7896094203266', '7896085111129', '78909434', '7500435132350', '7898716450331', '7896658027604', '7898100242757', '7896138700614', '7896111913796', '78911222', '7500435132381', '7891721019890', '7891058002657', '7891317422028', '7500435106580', '7896004709307', '7896422504454', '7896112101352', '7896422507950', '7896331703443', '7896015511159', '7896714219318', '7896226109305', '7896422515535', '7908007905478', '7896422519830', '7896007549559', '7896523216461', '7891317427542', '78906617', '7898940257393', '7896004706474', '7896641810695', '7896331704808']"
590671,"['7908007905478', '0000023384248']","['7896111913796', '7896523216812', '7891058168049', '7896637023047', '7500435181297', '7896006214441', '7891317015060', '7896112147640', '7896094910683', '7891268402018', '7896112452690', '7896637032209', '7891721019791', '7897411610606', '3253581600627', '7896004713342', '7896004769738', '7896714207551', '7896422528627', '3253581706084', '7896663325115', '7896094203266', '7896085111129', '78909434', '7500435132350', '7898716450331', '7896658027604', '7898100242757', '7896138700614', '78911222', '7891317002688', '7500435132381', '7891721019890', '7891058002657', '7891317422028', '7500435106580', '7896004709307', '7896422504454', '7896112101352', '7896422507950', '7896331703443', '7896015511159', '7896714219318', '7896226109305', '7896422515535', '7896422519830', '7896007549559', '7896523216461', '7891317427542', '78906617', '7898940257393', '7896004706474', '7896641810695', '7896331704808']"
592166,"['7896004713342', '0000023384248', '7891317015060']","['7896523216812', '7891058168049', '7896637023047', '7500435181297', '7896006214441', '7896112147640', '7896094910683', '7891268402018', '7896112452690', '7896637032209', '7891721019791', '7897411610606', '3253581600627', '7896004769738', '7896714207551', '7896422528627', '3253581706084', '7896663325115', '7896094203266', '7896085111129', '78909434', '7500435132350', '7898716450331', '7896658027604', '7898100242757', '7896138700614', '7896111913796', '78911222', '7891317002688', '7500435132381', '7891721019890', '7891058002657', '7891317422028', '7500435106580', '7896004709307', '7896422504454', '7896112101352', '7896422507950', '7896331703443', '7896015511159', '7896714219318', '7896226109305', '7896422515535', '7908007905478', '7896422519830', '7896007549559', '7896523216461', '7891317427542', '78906617', '7898940257393', '7896004706474', '7896641810695', '7896331704808']"
590678,"['7908007905478', '0000023384248', '7896111913796']","['7896523216812', '7891058168049', '7896637023047', '7500435181297', '7896006214441', '7891317015060', '7896112147640', '7896094910683', '7891268402018', '7896112452690', '7896637032209', '7891721019791', '7897411610606', '3253581600627', '7896004713342', '7896004769738', '7896714207551', '7896422528627', '3253581706084', '7896663325115', '7896094203266', '7896085111129', '78909434', '7500435132350', '7898716450331', '7896658027604', '7898100242757', '7896138700614', '78911222', '7891317002688', '7500435132381', '7891721019890', '7891058002657', '7891317422028', '7500435106580', '7896004709307', '7896422504454', '7896112101352', '7896422507950', '7896331703443', '7896015511159', '7896714219318', '7896226109305', '7896422515535', '7896422519830', '7896007549559', '7896523216461', '7891317427542', '78906617', '7898940257393', '7896004706474', '7896641810695', '7896331704808']"
592232,"['0000023384248', '7897411610606', '7896006214441']","['7896523216812', '7891058168049', '7896637023047', '7500435181297', '7891317015060', '7896112147640', '7896094910683', '7891268402018', '7896112452690', '7896637032209', '7891721019791', '3253581600627', '7896004713342', '7896004769738', '7896714207551', '7896422528627', '3253581706084', '7896663325115', '7896094203266', '7896085111129', '78909434', '7500435132350', '7898716450331', '7896658027604', '7898100242757', '7896138700614', '7896111913796', '78911222', '7891317002688', '7500435132381', '7891721019890', '7891058002657', '7891317422028', '7500435106580', '7896004709307', '7896422504454', '7896112101352', '7896422507950', '7896331703443', '7896015511159', '7896714219318', '7896226109305', '7896422515535', '7908007905478', '7896422519830', '7896007549559', '7896523216461', '7891317427542', '78906617', '7898940257393', '7896004706474', '7896641810695', '7896331704808']"
591831,"['7891721019791', '0000023384248', '7898100242757']","['7896523216812', '7891058168049', '7896637023047', '7500435181297', '7896006214441', '7891317015060', '7896112147640', '7896094910683', '7891268402018', '7896112452690', '7896637032209', '7897411610606', '3253581600627', '7896004713342', '7896004769738', '7896714207551', '7896422528627', '3253581706084', '7896663325115', '7896094203266', '7896085111129', '78909434', '7500435132350', '7898716450331', '7896658027604', '7896138700614', '7896111913796', '78911222', '7891317002688', '7500435132381', '7891721019890', '7891058002657', '7891317422028', '7500435106580', '7896004709307', '7896422504454', '7896112101352', '7896422507950', '7896331703443', '7896015511159', '7896714219318', '7896226109305', '7896422515535', '7908007905478', '7896422519830', '7896007549559', '7896523216461', '7891317427542', '78906617', '7898940257393', '7896004706474', '7896641810695', '7896331704808']"
591194,"['0000023384248', '7896004769738']","['7896523216812', '7891058168049', '7896637023047', '7500435181297', '7896006214441', '7891317015060', '7896112147640', '7896094910683', '7891268402018', '7896112452690', '7896637032209', '7891721019791', '7897411610606', '3253581600627', '7896004713342', '7896714207551', '7896422528627', '3253581706084', '7896663325115', '7896094203266', '7896085111129', '78909434', '7500435132350', '7898716450331', '7896658027604', '7898100242757', '7896138700614', '7896111913796', '78911222', '7891317002688', '7500435132381', '7891721019890', '7891058002657', '7891317422028', '7500435106580', '7896004709307', '7896422504454', '7896112101352', '7896422507950', '7896331703443', '7896015511159', '7896714219318', '7896226109305', '7896422515535', '7908007905478', '7896422519830', '7896007549559', '7896523216461', '7891317427542', '78906617', '7898940257393', '7896004706474', '7896641810695', '7896331704808']"
592319,"['7896422504454', '7896112101352', '0000023384248']","['7896523216812', '7891058168049', '7896637023047', '7500435181297', '7896006214441', '7891317015060', '7896112147640', '7896094910683', '7891268402018', '7896112452690', '7896637032209', '7891721019791', '7897411610606', '3253581600627', '7896004713342', '7896004769738', '7896714207551', '7896422528627', '3253581706084', '7896663325115', '7896094203266', '7896085111129', '78909434', '7500435132350', '7898716450331', '7896658027604', '7898100242757', '7896138700614', '7896111913796', '78911222', '7891317002688', '7500435132381', '7891721019890', '7891058002657', '7891317422028', '7500435106580', '7896004709307', '7896422507950', '7896331703443', '7896015511159', '7896714219318', '7896226109305', '7896422515535', '7908007905478', '7896422519830', '7896007549559', '7896523216461', '7891317427542', '78906617', '7898940257393', '7896004706474', '7896641810695', '7896331704808']"
591277,"['0000023384248', '7896422515535', '7891317427542']","['7896523216812', '7891058168049', '7896637023047', '7500435181297', '7896006214441', '7891317015060', '7896112147640', '7896094910683', '7891268402018', '7896112452690', '7896637032209', '7891721019791', '7897411610606', '3253581600627', '7896004713342', '7896004769738', '7896714207551', '7896422528627', '3253581706084', '7896663325115', '7896094203266', '7896085111129', '78909434', '7500435132350', '7898716450331', '7896658027604', '7898100242757', '7896138700614', '7896111913796', '78911222', '7891317002688', '7500435132381', '7891721019890', '7891058002657', '7891317422028', '7500435106580', '7896004709307', '7896422504454', '7896112101352', '7896422507950', '7896331703443', '7896015511159', '7896714219318', '7896226109305', '7908007905478', '7896422519830', '7896007549559', '7896523216461', '78906617', '7898940257393', '7896004706474', '7896641810695', '7896331704808']"
591201,"['7896085111129', '7896422519830', '0000023384248']","['7896523216812', '7891058168049', '7896637023047', '7500435181297', '7896006214441', '7891317015060', '7896112147640', '7896094910683', '7891268402018', '7896112452690', '7896637032209', '7891721019791', '7897411610606', '3253581600627', '7896004713342', '7896004769738', '7896714207551', '7896422528627', '3253581706084', '7896663325115', '7896094203266', '78909434', '7500435132350', '7898716450331', '7896658027604', '7898100242757', '7896138700614', '7896111913796', '78911222', '7891317002688', '7500435132381', '7891721019890', '7891058002657', '7891317422028', '7500435106580', '7896004709307', '7896422504454', '7896112101352', '7896422507950', '7896331703443', '7896015511159', '7896714219318', '7896226109305', '7896422515535', '7908007905478', '7896007549559', '7896523216461', '7891317427542', '78906617', '7898940257393', '7896004706474', '7896641810695', '7896331704808']"
591190,"['0000023384248', '7896004769738']","['7896523216812', '7891058168049', '7896637023047', '7500435181297', '7896006214441', '7891317015060', '7896112147640', '7896094910683', '7891268402018', '7896112452690', '7896637032209', '7891721019791', '7897411610606', '3253581600627', '7896004713342', '7896714207551', '7896422528627', '3253581706084', '7896663325115', '7896094203266', '7896085111129', '78909434', '7500435132350', '7898716450331', '7896658027604', '7898100242757', '7896138700614', '7896111913796', '78911222', '7891317002688', '7500435132381', '7891721019890', '7891058002657', '7891317422028', '7500435106580', '7896004709307', '7896422504454', '7896112101352', '7896422507950', '7896331703443', '7896015511159', '7896714219318', '7896226109305', '7896422515535', '7908007905478', '7896422519830', '7896007549559', '7896523216461', '7891317427542', '78906617', '7898940257393', '7896004706474', '7896641810695', '7896331704808']"
