,antecedent,consequent,confidence,lift,support
56,406,247,0.3326086956521739,548.090404320133,0.0005913889135837
5,247,406,0.9745222929936306,548.090404320133,0.0005913889135837
28,"30000512, AGULHA PRECISION AGU DES 30X7 x 100",SERINGA EMERALD SE 5MLDLLSA x 400,0.6483516483516484,300.3348254252462,0.001938441438969
24,NOVOLIN R HM F.AMP S.C 100IU 10ML x 1 /ML,NOVOLIN N HM F.AMP S.C 100IU 10ML x 1 /ML,0.8117283950617284,287.6776551665821,0.0005082852427206
144,NOVOLIN N HM F.AMP S.C 100IU 10ML x 1 /ML,NOVOLIN R HM F.AMP S.C 100IU 10ML x 1 /ML,0.1801369863013698,287.6776551665821,0.0005082852427206
74,"30000512, AGULHA PRECISION AGU DES 30X7 x 100",30000174,0.2721396250808015,280.5022263885634,0.0008136429170548
12,"SERINGA EMERALD SE 5MLDLLSA x 400, AGULHA PRECISION AGU DES 30X7 x 100",30000512,0.9295644114921224,265.73524595620046,0.001938441438969
30,30000512,SERINGA EMERALD SE 5MLDLLSA x 400,0.5646408839779006,261.5576311845561,0.0019751616656294
15,SERINGA EMERALD SE 5MLDLLSA x 400,30000512,0.9149507609668756,261.5576311845561,0.0019751616656294
16,6019813700000,30000512,0.9042904290429042,258.51015444085846,0.0005295443213135
175,30000512,6019813700000,0.1513812154696132,258.5101544408584,0.0005295443213135
19,"30000174, AGULHA PRECISION AGU DES 30X7 x 100",30000512,0.8752598752598753,250.21116918022997,0.0008136429170548
23,30000174,30000512,0.8466135458167331,242.02202240760715,0.0008213734910885
86,30000512,30000174,0.2348066298342541,242.02202240760715,0.0008213734910885
50,"DEXA-CITONEURI NFF AMPOLA I+II 3ML x 3, AGULHA PRECISION AGU DES 30X7 x 100",30000512,0.3576158940397351,102.23191248033368,0.0005218137472798
4,34118,35629,0.9745762711864406,88.14387374495985,0.0011112700173551
252,35629,34118,0.1005069043873448,88.14387374495985,0.0011112700173551
7,109472,35629,0.9659090909090908,87.35998553971811,0.0006570987928708
375,35629,109472,0.0594301695507778,87.3599855397181,0.0006570987928708
63,"PROFENID F.AMP LIOF 100MG x 6, AGULHA PRECISION AGU DES 30X7 x 100",30000512,0.2989130434782608,85.45048642805669,0.000531476964822
417,35629,34412,0.049641671036532,85.33518696926461,0.000548870756398
10,34412,35629,0.9435215946843852,85.3351869692646,0.000548870756398
13,5722,35629,0.9184397163120568,83.06669964210494,0.0005005546686869
444,35629,5722,0.0452718056283866,83.06669964210492,0.0005005546686869
350,35629,5721,0.0672959272854396,80.23194117879234,0.0007440677507508
18,5721,35629,0.8870967741935484,80.23194117879234,0.0007440677507508
0,"30000174, 30000512",AGULHA PRECISION AGU DES 30X7 x 100,0.9905882352941175,59.6134110531861,0.0008136429170548
1,"SERINGA EMERALD SE 5MLDLLSA x 400, 30000512",AGULHA PRECISION AGU DES 30X7 x 100,0.9814090019569472,59.06100654182081,0.001938441438969
2,"30000512, PROFENID F.AMP LIOF 100MG x 6",AGULHA PRECISION AGU DES 30X7 x 100,0.9786476868327402,58.89483112434489,0.000531476964822
3,"DEXA-CITONEURI NFF AMPOLA I+II 3ML x 3, 30000512",AGULHA PRECISION AGU DES 30X7 x 100,0.9782608695652174,58.87155253496768,0.0005218137472798
207,AGULHA PRECISION AGU DES 30X7 x 100,SERINGA EMERALD SE 5MLDLLSA x 400,0.1254943010002326,58.13251046494751,0.0020853223456107
6,SERINGA EMERALD SE 5MLDLLSA x 400,AGULHA PRECISION AGU DES 30X7 x 100,0.9659803043867502,58.1325104649475,0.0020853223456107
394,AGULHA PRECISION AGU DES 30X7 x 100,30000174,0.0559432426145615,57.66232719737472,0.0009296015275614
8,30000174,AGULHA PRECISION AGU DES 30X7 x 100,0.9581673306772908,57.66232719737472,0.0009296015275614
393,SERINGA BD PLASTIP SE 5MLDLLS/A x 700,7896006247302,0.0562906220984215,57.11025770568208,0.0009373321015952
9,7896006247302,SERINGA BD PLASTIP SE 5MLDLLS/A x 700,0.9509803921568628,57.11025770568208,0.0009373321015952
