antecedent,consequent,confidence,lift,support
"['7909690729426', '7891317002503', '7898039564968', '7896422504454']",['7891010781668'],1.0,1442.5,0.0006932409012131716
"['7909690729426', '7891317002503', '7898039564968', '7896422504454']",['7891024174180'],1.0,1442.5,0.0006932409012131716
"['7891317002503', '7891010036478', '7898039564968', '7896422504454', '7898039563732']",['7909690729426'],1.0,1442.5,0.0006932409012131716
"['7891317002503', '7891010036478', '7898039564968', '7896422504454', '7898039563732']",['7891010781668'],1.0,1442.5,0.0006932409012131716
"['7891317002503', '7891010036478', '7898039564968', '7896422504454', '7898039563732']",['7891024174180'],1.0,1442.5,0.0006932409012131716
"['7896663327904', '7500435106658']",['7896015530006'],1.0,1442.5,0.0006932409012131716
"['7896663327904', '7500435106658']",['7896046383015'],1.0,1442.5,0.0006932409012131716
"['7896663327904', '7500435106658']",['7509546666426'],1.0,1442.5,0.0006932409012131716
"['7896015530006', '7896046383015', '7896512921789', '7896512945136', '7500435106658']",['7896663327904'],1.0,1442.5,0.0006932409012131716
"['7896015530006', '7896046383015', '7896512921789', '7896512945136', '7500435106658']",['7509546666426'],1.0,1442.5,0.0006932409012131716
"['7896015530006', '7896046383015', '7896663327904', '7896014140459']",['7509546666426'],1.0,1442.5,0.0006932409012131716
"['7896015530006', '7896512945136', '7896014140459', '7500435106658', '7898087700110']",['7896663327904'],1.0,1442.5,0.0006932409012131716
"['7896015530006', '7896512945136', '7896014140459', '7500435106658', '7898087700110']",['7896046383015'],1.0,1442.5,0.0006932409012131716
"['7896015530006', '7896512945136', '7896014140459', '7500435106658', '7898087700110']",['7509546666426'],1.0,1442.5,0.0006932409012131716
"['7896046383015', '7896663327904', '7896512921789', '7896014140459', '7898087700110']",['7896015530006'],1.0,1442.5,0.0006932409012131716
"['7896046383015', '7896663327904', '7896512921789', '7896014140459', '7898087700110']",['7509546666426'],1.0,1442.5,0.0006932409012131716
"['7509546666426', '7896046383015']",['7896015530006'],1.0,1442.5,0.0006932409012131716
"['7509546666426', '7896046383015']",['7896663327904'],1.0,1442.5,0.0006932409012131716
"['7891317002503', '7898039563732']",['7909690729426'],1.0,1442.5,0.0006932409012131716
"['7891317002503', '7898039563732']",['7891010781668'],1.0,1442.5,0.0006932409012131716
"['7891317002503', '7898039563732']",['7891024174180'],1.0,1442.5,0.0006932409012131716
"['7891024174180', '7909690729426', '7891010036478']",['7891317002503'],1.0,1442.5,0.0006932409012131716
"['7891024174180', '7909690729426', '7891010036478']",['7891010781668'],1.0,1442.5,0.0006932409012131716
"['7896015530006', '7896663327904']",['7896046383015'],1.0,1442.5,0.0006932409012131716
"['7896015530006', '7896663327904']",['7509546666426'],1.0,1442.5,0.0006932409012131716
"['7909690729426', '7896422504454', '7898039563732']",['7891317002503'],1.0,1442.5,0.0006932409012131716
"['7909690729426', '7896422504454', '7898039563732']",['7891010781668'],1.0,1442.5,0.0006932409012131716
"['7909690729426', '7896422504454', '7898039563732']",['7891024174180'],1.0,1442.5,0.0006932409012131716
"['7509546666426', '7896015530006', '7896663327904', '7896512921789', '7896512945136', '7500435106658']",['7896046383015'],1.0,1442.5,0.0006932409012131716
"['7896512945136', '7896014140459']",['7896663327904'],1.0,1442.5,0.0006932409012131716
"['7896512945136', '7896014140459']",['7896015530006'],1.0,1442.5,0.0006932409012131716
"['7896512945136', '7896014140459']",['7896046383015'],1.0,1442.5,0.0006932409012131716
"['7896512945136', '7896014140459']",['7509546666426'],1.0,1442.5,0.0006932409012131716
"['7896046383015', '7896663327904', '7896512945136', '7896014140459']",['7896015530006'],1.0,1442.5,0.0006932409012131716
"['7896046383015', '7896663327904', '7896512945136', '7896014140459']",['7509546666426'],1.0,1442.5,0.0006932409012131716
"['7896015530006', '7896014140459', '7500435106658', '7898087700110']",['7896663327904'],1.0,1442.5,0.0006932409012131716
"['7896015530006', '7896014140459', '7500435106658', '7898087700110']",['7896046383015'],1.0,1442.5,0.0006932409012131716
"['7896015530006', '7896014140459', '7500435106658', '7898087700110']",['7509546666426'],1.0,1442.5,0.0006932409012131716
"['7897780200323', '7891800364798', '7891010504755', '0000023384248']",['7891800002829'],1.0,1442.5,0.0006932409012131716
"['7509546666426', '7896512921789', '7500435106658', '7898087700110']",['7896663327904'],1.0,1442.5,0.0006932409012131716
"['7509546666426', '7896512921789', '7500435106658', '7898087700110']",['7896015530006'],1.0,1442.5,0.0006932409012131716
"['7509546666426', '7896512921789', '7500435106658', '7898087700110']",['7896046383015'],1.0,1442.5,0.0006932409012131716
"['7896015530006', '7896512921789', '7500435106658', '7898087700110']",['7896663327904'],1.0,1442.5,0.0006932409012131716
"['7896015530006', '7896512921789', '7500435106658', '7898087700110']",['7896046383015'],1.0,1442.5,0.0006932409012131716
"['7896015530006', '7896512921789', '7500435106658', '7898087700110']",['7509546666426'],1.0,1442.5,0.0006932409012131716
"['7509546666426', '7896046383015', '7896663327904', '7896512945136']",['7896015530006'],1.0,1442.5,0.0006932409012131716
"['7896512945136', '7896014140459', '7500435106658']",['7896663327904'],1.0,1442.5,0.0006932409012131716
"['7896512945136', '7896014140459', '7500435106658']",['7896015530006'],1.0,1442.5,0.0006932409012131716
"['7896512945136', '7896014140459', '7500435106658']",['7896046383015'],1.0,1442.5,0.0006932409012131716
"['7896512945136', '7896014140459', '7500435106658']",['7509546666426'],1.0,1442.5,0.0006932409012131716
"['7891024174180', '7891317002503', '7891010781668', '7891010036478', '7898039563732']",['7909690729426'],1.0,1442.5,0.0006932409012131716
"['7896015530006', '7896046383015', '7896512921789', '7896512945136', '7896014140459', '7500435106658']",['7896663327904'],1.0,1442.5,0.0006932409012131716
"['7896015530006', '7896046383015', '7896512921789', '7896512945136', '7896014140459', '7500435106658']",['7509546666426'],1.0,1442.5,0.0006932409012131716
"['7896015530006', '7896512921789', '7896512945136', '7896014140459', '7898087700110']",['7896663327904'],1.0,1442.5,0.0006932409012131716
"['7896015530006', '7896512921789', '7896512945136', '7896014140459', '7898087700110']",['7896046383015'],1.0,1442.5,0.0006932409012131716
"['7896015530006', '7896512921789', '7896512945136', '7896014140459', '7898087700110']",['7509546666426'],1.0,1442.5,0.0006932409012131716
"['7909690729426', '7891317002503', '7891010781668', '7891010036478', '7898039563732']",['7891024174180'],1.0,1442.5,0.0006932409012131716
"['7896015530006', '7898087700110']",['7896663327904'],1.0,1442.5,0.0006932409012131716
"['7896015530006', '7898087700110']",['7896046383015'],1.0,1442.5,0.0006932409012131716
"['7896015530006', '7898087700110']",['7509546666426'],1.0,1442.5,0.0006932409012131716
"['7891024174180', '7909690729426', '7891317002503', '7896422504454', '7898039563732']",['7891010781668'],1.0,1442.5,0.0006932409012131716
"['7509546666426', '7896046383015', '7500435106658', '7898087700110']",['7896015530006'],1.0,1442.5,0.0006932409012131716
"['7509546666426', '7896046383015', '7500435106658', '7898087700110']",['7896663327904'],1.0,1442.5,0.0006932409012131716
"['7898661681002', '7891800000641']",['7891800002829'],1.0,1442.5,0.0006932409012131716
"['7891800364798', '7898125712174', '0000023384248']",['7891800002829'],1.0,1442.5,0.0006932409012131716
"['7509546666426', '7896015530006', '7896663327904', '7896512921789', '7896014140459', '7500435106658', '7898087700110']",['7896046383015'],1.0,1442.5,0.0006932409012131716
"['7891800000641', '7891800364798', '7891010504755', '0000023384248']",['7891800002829'],1.0,1442.5,0.0006932409012131716
"['7891800000641', '7891800364798', '7891010504755', '7898125712174']",['7891800002829'],1.0,1442.5,0.0006932409012131716
"['7509546666426', '7896015530006', '7896663327904', '7896512921789', '7500435106658']",['7896046383015'],1.0,1442.5,0.0006932409012131716
"['7898661681002', '7898125712174', '0000023384248']",['7891800002829'],1.0,1442.5,0.0006932409012131716
"['7891024174180', '7898039564968', '7898039563732']",['7909690729426'],1.0,1442.5,0.0006932409012131716
"['7891024174180', '7898039564968', '7898039563732']",['7891317002503'],1.0,1442.5,0.0006932409012131716
"['7891024174180', '7898039564968', '7898039563732']",['7891010781668'],1.0,1442.5,0.0006932409012131716
"['7891024174180', '7891317002503', '7891010036478', '7898039564968', '7898039563732']",['7909690729426'],1.0,1442.5,0.0006932409012131716
"['7891024174180', '7891317002503', '7891010036478', '7898039564968', '7898039563732']",['7891010781668'],1.0,1442.5,0.0006932409012131716
"['7896046383015', '7896512945136', '7896014140459', '7500435106658']",['7896015530006'],1.0,1442.5,0.0006932409012131716
"['7896046383015', '7896512945136', '7896014140459', '7500435106658']",['7896663327904'],1.0,1442.5,0.0006932409012131716
"['7896046383015', '7896512945136', '7896014140459', '7500435106658']",['7509546666426'],1.0,1442.5,0.0006932409012131716
"['7896663327904', '7896512945136', '7500435106658']",['7896015530006'],1.0,1442.5,0.0006932409012131716
"['7896663327904', '7896512945136', '7500435106658']",['7896046383015'],1.0,1442.5,0.0006932409012131716
"['7896663327904', '7896512945136', '7500435106658']",['7509546666426'],1.0,1442.5,0.0006932409012131716
"['7891024174180', '7891317002503', '7891010781668', '7891010036478', '7898039564968']",['7909690729426'],1.0,1442.5,0.0006932409012131716
"['7891024174180', '7909690729426', '7891010781668', '7898039563732']",['7891317002503'],1.0,1442.5,0.0006932409012131716
"['7509546666426', '7896014140459', '7500435106658']",['7896663327904'],1.0,1442.5,0.0006932409012131716
"['7509546666426', '7896014140459', '7500435106658']",['7896015530006'],1.0,1442.5,0.0006932409012131716
"['7509546666426', '7896014140459', '7500435106658']",['7896046383015'],1.0,1442.5,0.0006932409012131716
"['7509546666426', '7896015530006', '7896046383015', '7898087700110']",['7896663327904'],1.0,1442.5,0.0006932409012131716
"['7896015530006', '7896663327904', '7896512945136']",['7896046383015'],1.0,1442.5,0.0006932409012131716
"['7896015530006', '7896663327904', '7896512945136']",['7509546666426'],1.0,1442.5,0.0006932409012131716
"['7891010781668', '7898039564968', '7898039563732']",['7909690729426'],1.0,1442.5,0.0006932409012131716
"['7891010781668', '7898039564968', '7898039563732']",['7891317002503'],1.0,1442.5,0.0006932409012131716
"['7891010781668', '7898039564968', '7898039563732']",['7891024174180'],1.0,1442.5,0.0006932409012131716
"['7898415441326', '7896094917354']",['7898903925093'],1.0,1442.5,0.0006932409012131716
"['7896046383015', '7896512945136', '7898087700110']",['7896015530006'],1.0,1442.5,0.0006932409012131716
"['7896046383015', '7896512945136', '7898087700110']",['7896663327904'],1.0,1442.5,0.0006932409012131716
"['7896046383015', '7896512945136', '7898087700110']",['7509546666426'],1.0,1442.5,0.0006932409012131716
"['7898661681002', '7891010504755', '7898125712174', '0000023384248']",['7891800002829'],1.0,1442.5,0.0006932409012131716
"['7909690729426', '7891317002503', '7891010781668']",['7891024174180'],1.0,1442.5,0.0006932409012131716
"['7509546666426', '7896663327904']",['7896015530006'],1.0,1442.5,0.0006932409012131716
"['7509546666426', '7896663327904']",['7896046383015'],1.0,1442.5,0.0006932409012131716
"['7891024174180', '7909690729426', '7891010781668', '7891010036478', '7898039564968']",['7891317002503'],1.0,1442.5,0.0006932409012131716
"['7509546666426', '7500435106658', '7898087700110']",['7896663327904'],1.0,1442.5,0.0006932409012131716
"['7509546666426', '7500435106658', '7898087700110']",['7896015530006'],1.0,1442.5,0.0006932409012131716
"['7509546666426', '7500435106658', '7898087700110']",['7896046383015'],1.0,1442.5,0.0006932409012131716
"['7509546666426', '7896046383015', '7896512921789', '7896512945136', '7896014140459', '7500435106658']",['7896015530006'],1.0,1442.5,0.0006932409012131716
"['7509546666426', '7896046383015', '7896512921789', '7896512945136', '7896014140459', '7500435106658']",['7896663327904'],1.0,1442.5,0.0006932409012131716
"['7896015530006', '7896663327904', '7500435106658']",['7896046383015'],1.0,1442.5,0.0006932409012131716
"['7896015530006', '7896663327904', '7500435106658']",['7509546666426'],1.0,1442.5,0.0006932409012131716
['7891010601188'],['7891010601164'],1.0,1442.5,0.0006932409012131716
"['7896015530006', '7896512921789', '7500435106658']",['7896663327904'],1.0,1442.5,0.0006932409012131716
"['7896015530006', '7896512921789', '7500435106658']",['7896046383015'],1.0,1442.5,0.0006932409012131716
"['7896015530006', '7896512921789', '7500435106658']",['7509546666426'],1.0,1442.5,0.0006932409012131716
"['7898661681002', '7891800000641', '7891800364798', '7891010504755', '7898125712174']",['7891800002829'],1.0,1442.5,0.0006932409012131716
"['7896663327904', '7896512921789', '7896014140459']",['7896015530006'],1.0,1442.5,0.0006932409012131716
"['7896663327904', '7896512921789', '7896014140459']",['7896046383015'],1.0,1442.5,0.0006932409012131716
"['7896663327904', '7896512921789', '7896014140459']",['7509546666426'],1.0,1442.5,0.0006932409012131716
"['7509546666426', '7896046383015', '7896663327904', '7896512921789', '7896512945136', '7500435106658', '7898087700110']",['7896015530006'],1.0,1442.5,0.0006932409012131716
"['7896663327904', '7896512945136', '7896014140459']",['7896015530006'],1.0,1442.5,0.0006932409012131716
"['7896663327904', '7896512945136', '7896014140459']",['7896046383015'],1.0,1442.5,0.0006932409012131716
"['7896663327904', '7896512945136', '7896014140459']",['7509546666426'],1.0,1442.5,0.0006932409012131716
"['7896014140459', '7500435106658', '7898087700110']",['7896663327904'],1.0,1442.5,0.0006932409012131716
"['7896014140459', '7500435106658', '7898087700110']",['7896015530006'],1.0,1442.5,0.0006932409012131716
"['7896014140459', '7500435106658', '7898087700110']",['7896046383015'],1.0,1442.5,0.0006932409012131716
"['7896014140459', '7500435106658', '7898087700110']",['7509546666426'],1.0,1442.5,0.0006932409012131716
"['7509546666426', '7896046383015', '7896014140459', '7500435106658']",['7896015530006'],1.0,1442.5,0.0006932409012131716
"['7509546666426', '7896046383015', '7896014140459', '7500435106658']",['7896663327904'],1.0,1442.5,0.0006932409012131716
"['7896512921789', '7896512945136', '7896014140459', '7898087700110']",['7896663327904'],1.0,1442.5,0.0006932409012131716
"['7896512921789', '7896512945136', '7896014140459', '7898087700110']",['7896015530006'],1.0,1442.5,0.0006932409012131716
"['7896512921789', '7896512945136', '7896014140459', '7898087700110']",['7896046383015'],1.0,1442.5,0.0006932409012131716
"['7896512921789', '7896512945136', '7896014140459', '7898087700110']",['7509546666426'],1.0,1442.5,0.0006932409012131716
"['7896663327904', '7896512921789', '7896014140459', '7500435106658']",['7896015530006'],1.0,1442.5,0.0006932409012131716
"['7896663327904', '7896512921789', '7896014140459', '7500435106658']",['7896046383015'],1.0,1442.5,0.0006932409012131716
"['7896663327904', '7896512921789', '7896014140459', '7500435106658']",['7509546666426'],1.0,1442.5,0.0006932409012131716
"['7896046383015', '7896512921789', '7500435106658', '7898087700110']",['7896015530006'],1.0,1442.5,0.0006932409012131716
"['7896046383015', '7896512921789', '7500435106658', '7898087700110']",['7896663327904'],1.0,1442.5,0.0006932409012131716
"['7896046383015', '7896512921789', '7500435106658', '7898087700110']",['7509546666426'],1.0,1442.5,0.0006932409012131716
"['7896015530006', '7896663327904', '7896512921789', '7896512945136']",['7896046383015'],1.0,1442.5,0.0006932409012131716
"['7896015530006', '7896663327904', '7896512921789', '7896512945136']",['7509546666426'],1.0,1442.5,0.0006932409012131716
"['7509546666426', '7896663327904', '7896014140459', '7500435106658', '7898087700110']",['7896015530006'],1.0,1442.5,0.0006932409012131716
"['7509546666426', '7896663327904', '7896014140459', '7500435106658', '7898087700110']",['7896046383015'],1.0,1442.5,0.0006932409012131716
"['7891317002503', '7891010781668', '7898039564968', '7898039563732']",['7909690729426'],1.0,1442.5,0.0006932409012131716
"['7891317002503', '7891010781668', '7898039564968', '7898039563732']",['7891024174180'],1.0,1442.5,0.0006932409012131716
"['7509546666426', '7896046383015', '7896512921789', '7500435106658']",['7896015530006'],1.0,1442.5,0.0006932409012131716
"['7509546666426', '7896046383015', '7896512921789', '7500435106658']",['7896663327904'],1.0,1442.5,0.0006932409012131716
"['7891317002503', '7891010036478', '7898039564968']",['7909690729426'],1.0,1442.5,0.0006932409012131716
"['7891317002503', '7891010036478', '7898039564968']",['7891010781668'],1.0,1442.5,0.0006932409012131716
"['7891317002503', '7891010036478', '7898039564968']",['7891024174180'],1.0,1442.5,0.0006932409012131716
"['7896015530006', '7500435106658', '7898087700110']",['7896663327904'],1.0,1442.5,0.0006932409012131716
"['7896015530006', '7500435106658', '7898087700110']",['7896046383015'],1.0,1442.5,0.0006932409012131716
"['7896015530006', '7500435106658', '7898087700110']",['7509546666426'],1.0,1442.5,0.0006932409012131716
"['7896015530006', '7896663327904', '7896512945136', '7896014140459', '7500435106658', '7898087700110']",['7896046383015'],1.0,1442.5,0.0006932409012131716
"['7896015530006', '7896663327904', '7896512945136', '7896014140459', '7500435106658', '7898087700110']",['7509546666426'],1.0,1442.5,0.0006932409012131716
"['7509546666426', '7896015530006', '7896663327904', '7500435106658']",['7896046383015'],1.0,1442.5,0.0006932409012131716
"['7891024174180', '7909690729426', '7891010781668', '7891010036478', '7898039563732']",['7891317002503'],1.0,1442.5,0.0006932409012131716
"['7909690729426', '7891317002503', '7891010781668', '7896422504454']",['7891024174180'],1.0,1442.5,0.0006932409012131716
"['7909690729426', '7891010781668', '7896422504454', '7898039563732']",['7891317002503'],1.0,1442.5,0.0006932409012131716
"['7909690729426', '7891010781668', '7896422504454', '7898039563732']",['7891024174180'],1.0,1442.5,0.0006932409012131716
"['7891010036478', '7898039564968', '7896422504454', '7898039563732']",['7909690729426'],1.0,1442.5,0.0006932409012131716
"['7891010036478', '7898039564968', '7896422504454', '7898039563732']",['7891317002503'],1.0,1442.5,0.0006932409012131716
"['7891010036478', '7898039564968', '7896422504454', '7898039563732']",['7891024174180'],1.0,1442.5,0.0006932409012131716
"['7891010036478', '7898039564968', '7896422504454', '7898039563732']",['7891010781668'],1.0,1442.5,0.0006932409012131716
"['7896015530006', '7896046383015', '7896663327904', '7896014140459', '7500435106658', '7898087700110']",['7509546666426'],1.0,1442.5,0.0006932409012131716
"['7509546666426', '7896046383015', '7896663327904', '7896512921789', '7896512945136', '7500435106658']",['7896015530006'],1.0,1442.5,0.0006932409012131716
"['7909690729426', '7891010781668', '7898039564968', '7896422504454']",['7891317002503'],1.0,1442.5,0.0006932409012131716
"['7909690729426', '7891010781668', '7898039564968', '7896422504454']",['7891024174180'],1.0,1442.5,0.0006932409012131716
"['7896015530006', '7896512945136', '7500435106658']",['7896663327904'],1.0,1442.5,0.0006932409012131716
"['7896015530006', '7896512945136', '7500435106658']",['7896046383015'],1.0,1442.5,0.0006932409012131716
"['7896015530006', '7896512945136', '7500435106658']",['7509546666426'],1.0,1442.5,0.0006932409012131716
"['7509546666426', '7896512945136', '7500435106658', '7898087700110']",['7896663327904'],1.0,1442.5,0.0006932409012131716
"['7509546666426', '7896512945136', '7500435106658', '7898087700110']",['7896015530006'],1.0,1442.5,0.0006932409012131716
"['7509546666426', '7896512945136', '7500435106658', '7898087700110']",['7896046383015'],1.0,1442.5,0.0006932409012131716
"['7909690729426', '7891317002503', '7891010036478', '7898039564968', '7898039563732']",['7891010781668'],1.0,1442.5,0.0006932409012131716
"['7909690729426', '7891317002503', '7891010036478', '7898039564968', '7898039563732']",['7891024174180'],1.0,1442.5,0.0006932409012131716
"['7509546666426', '7896046383015', '7896663327904', '7896512945136', '7500435106658']",['7896015530006'],1.0,1442.5,0.0006932409012131716
"['7909690729426', '7891010781668', '7896422504454']",['7891317002503'],1.0,1442.5,0.0006932409012131716
"['7909690729426', '7891010781668', '7896422504454']",['7891024174180'],1.0,1442.5,0.0006932409012131716
"['7500435106658', '7898087700110']",['7896663327904'],1.0,1442.5,0.0006932409012131716
"['7500435106658', '7898087700110']",['7896015530006'],1.0,1442.5,0.0006932409012131716
"['7500435106658', '7898087700110']",['7896046383015'],1.0,1442.5,0.0006932409012131716
"['7500435106658', '7898087700110']",['7509546666426'],1.0,1442.5,0.0006932409012131716
"['7509546666426', '7896046383015', '7896663327904', '7896512945136', '7896014140459', '7500435106658', '7898087700110']",['7896015530006'],1.0,1442.5,0.0006932409012131716
"['7891024174180', '7909690729426', '7891010781668', '7891010036478', '7896422504454']",['7891317002503'],1.0,1442.5,0.0006932409012131716
"['7898661681002', '7891800000641', '7897780200323', '7891010504755']",['7891800002829'],1.0,1442.5,0.0006932409012131716
['7896061995477'],['5702191025637'],1.0,1442.5,0.0006932409012131716
"['7891024174180', '7909690729426', '7891317002503', '7898039564968', '7896422504454', '7898039563732']",['7891010781668'],1.0,1442.5,0.0006932409012131716
"['7509546666426', '7896663327904', '7896512921789', '7896014140459', '7500435106658']",['7896015530006'],1.0,1442.5,0.0006932409012131716
"['7509546666426', '7896663327904', '7896512921789', '7896014140459', '7500435106658']",['7896046383015'],1.0,1442.5,0.0006932409012131716
"['7909690729426', '7891317002503', '7896422504454']",['7891010781668'],1.0,1442.5,0.0006932409012131716
"['7909690729426', '7891317002503', '7896422504454']",['7891024174180'],1.0,1442.5,0.0006932409012131716
"['7509546666426', '7896046383015', '7896014140459']",['7896015530006'],1.0,1442.5,0.0006932409012131716
"['7509546666426', '7896046383015', '7896014140459']",['7896663327904'],1.0,1442.5,0.0006932409012131716
