antecedent,consequent,confidence,lift,support
TREZETE CPR REVEST 20mg x 30 /10,DICL BETAISTINA MG CPR 24mg x 30,0.8461538461538461,182.11446886446888,0.0006084407323413
DICL BETAISTINA MG CPR 24mg x 30,TREZETE CPR REVEST 20mg x 30 /10,0.1309523809523809,182.11446886446888,0.0006084407323413
442,441,1.0,170.5566037735849,0.0058078433541678
441,442,0.9905660377358492,170.5566037735849,0.0058078433541678
IVERMECTINA MG CPR 6.00MG x 4,7908348606966,0.146067415730337,75.45008025682183,0.0007190663200398
7908348606966,IVERMECTINA MG CPR 6.00MG x 4,0.3714285714285714,75.45008025682183,0.0007190663200398
7898277714590,7908020500384,0.1234567901234567,69.74922839506173,0.0005531279384921
7908020500384,7898277714590,0.3125,69.74922839506173,0.0005531279384921
7896015521646,SAL FRUTA ENO LARANJA 2ENV - GSK (FR30),0.4615384615384615,55.62769230769232,0.0006637535261906
SAL FRUTA ENO LARANJA 2ENV - GSK (FR30),7896015521646,0.08,55.62769230769231,0.0006637535261906
SAL FRUTA ENO LARANJA 2ENV - GSK (FR30),SAL FRUTA ENO LIMAO 2ENV - GSK (FR30),0.0666666666666666,52.40289855072464,0.0005531279384921
SAL FRUTA ENO LIMAO 2ENV - GSK (FR30),SAL FRUTA ENO LARANJA 2ENV - GSK (FR30),0.4347826086956521,52.40289855072464,0.0005531279384921
77,7896094912977,0.1237623762376237,48.641304347826086,0.0013828198462304
7896094912977,77,0.5434782608695652,48.641304347826086,0.0013828198462304
AEROLIN SPRAY DOSE 100Y x 200 /DOS,CLENIL HFA SPRAY AERO 250Y x 200 /DOS,0.137466307277628,46.02321054207847,0.00282095248631
CLENIL HFA SPRAY AERO 250Y x 200 /DOS,AEROLIN SPRAY DOSE 100Y x 200 /DOS,0.9444444444444444,46.02321054207847,0.00282095248631
CLENIL HFA SPRAY AERO 50.0Y x 200 /DOS,AEROLIN SPRAY DOSE 100Y x 200 /DOS,0.875,42.639150943396224,0.001548758227778
AEROLIN SPRAY DOSE 100Y x 200 /DOS,CLENIL HFA SPRAY AERO 50.0Y x 200 /DOS,0.0754716981132075,42.639150943396224,0.001548758227778
DECADRON CPR 4.00MG x 10,14,0.7307692307692307,41.28617788461538,0.0010509430831351
14,DECADRON CPR 4.00MG x 10,0.059375,41.28617788461538,0.0010509430831351
2555,7908348606966,0.0735294117647058,37.98109243697479,0.0008296919077382
7908348606966,2555,0.4285714285714285,37.981092436974784,0.0008296919077382
"406, TAXA DE ENTREGA",247,0.1971830985915492,36.37625754527163,0.000774379113889
"406, TAXA DE ENTREGA",CITONEURIN AMP. 5.00MG 3ML x 3,0.1830985915492957,33.10239436619718,0.0007190663200398
7898277714590,55,0.1358024691358024,30.310775796372504,0.0006084407323413
55,7898277714590,0.1358024691358024,30.310775796372504,0.0006084407323413
406,ALGE.AC+ENA.EST.MG A.IM 150MG/ 10mg 1ML x 1,0.0230547550432276,26.05043227665706,0.0008850047015874
"247, TAXA DE ENTREGA",406,1.0,26.05043227665706,0.000774379113889
ALGE.AC+ENA.EST.MG A.IM 150MG/ 10mg 1ML x 1,406,1.0,26.05043227665706,0.0008850047015874
"CITONEURIN AMP. 5.00MG 3ML x 3, TAXA DE ENTREGA",406,1.0,26.05043227665706,0.0007190663200398
CITONEURIN AMP. 5.00MG 3ML x 3,406,0.93,24.226902017291067,0.0051440898279772
406,CITONEURIN AMP. 5.00MG 3ML x 3,0.1340057636887608,24.226902017291064,0.0051440898279772
247,406,0.9183673469387756,23.92386637652179,0.0049781514464295
406,247,0.1296829971181556,23.92386637652179,0.0049781514464295
CLENIL HFA SPRAY AERO 200Y x 200 /DOS,AEROLIN SPRAY DOSE 100Y x 200 /DOS,0.4864864864864865,23.70670940482261,0.0019912605785718
AEROLIN SPRAY DOSE 100Y x 200 /DOS,CLENIL HFA SPRAY AERO 200Y x 200 /DOS,0.0970350404312668,23.70670940482261,0.0019912605785718
406,PROFENID F.AMP LIOF 100MG x 6,0.1426512968299711,21.855871147364823,0.0054759665910725
PROFENID F.AMP LIOF 100MG x 6,406,0.8389830508474576,21.855871147364823,0.0054759665910725
"406, TAXA DE ENTREGA",PROFENID F.AMP LIOF 100MG x 6,0.1408450704225352,21.5791358319408,0.0005531279384921
NEO PREMIUM L SOR FI TOP 0.90% 250ML x 1,CLENIL A FLACONETES 0.40MG 2ML x 10 /ML,0.125,21.12032710280374,0.0010509430831351
CLENIL A FLACONETES 0.40MG 2ML x 10 /ML,NEO PREMIUM L SOR FI TOP 0.90% 250ML x 1,0.1775700934579439,21.12032710280374,0.0010509430831351
AMOXICILINA MG CAPSULAS 500MG x 21,NIMESULIDA MG CPR 100MG x 12,0.1442307692307692,20.058062130177515,0.0008296919077382
NIMESULIDA MG CPR 100MG x 12,AMOXICILINA MG CAPSULAS 500MG x 21,0.1153846153846153,20.058062130177515,0.0008296919077382
DEXA-CITONEURI NFF AMPOLA I+II 3ML x 3,406,0.7692307692307693,20.03879405896697,0.0044250235079373
CEFTRIAXONA DIS.MG F IM C/DIL 1.00G 3.5ML x 1,406,0.7692307692307693,20.03879405896697,0.0005531279384921
406,CEFTRIAXONA DIS.MG F IM C/DIL 1.00G 3.5ML x 1,0.0144092219020172,20.038794058966968,0.0005531279384921
406,DEXA-CITONEURI NFF AMPOLA I+II 3ML x 3,0.1152737752161383,20.038794058966968,0.0044250235079373
247,DEXA-CITONEURI NFF AMPOLA I+II 3ML x 3,0.1122448979591836,19.51226452119309,0.0006084407323413
DEXA-CITONEURI NFF AMPOLA I+II 3ML x 3,247,0.1057692307692307,19.51226452119309,0.0006084407323413
AZITROMICINA MG CPR REVEST 500MG x 5,IVERMECTINA MG CPR 6.00MG x 4,0.0909090909090909,18.46680286006129,0.0009956302892859
IVERMECTINA MG CPR 6.00MG x 4,AZITROMICINA MG CPR REVEST 500MG x 5,0.2022471910112359,18.46680286006129,0.0009956302892859
"PROFENID F.AMP LIOF 100MG x 6, TAXA DE ENTREGA",406,0.625,16.281520172910664,0.0005531279384921
ZART CPR REVEST 50mg x 30,HIDROCLOROTIAZI.MG CPR 25mg x 30,0.65,15.94484396200814,0.0007190663200398
HIDROCLOROTIAZI.MG CPR 25mg x 30,ZART CPR REVEST 50mg x 30,0.0176390773405698,15.94484396200814,0.0007190663200398
2555,IVERMECTINA MG CPR 6.00MG x 4,0.0735294117647058,14.936384666226042,0.0008296919077382
IVERMECTINA MG CPR 6.00MG x 4,2555,0.1685393258426966,14.93638466622604,0.0008296919077382
77,55,0.0594059405940594,13.25925925925926,0.0006637535261906
55,77,0.1481481481481481,13.259259259259258,0.0006637535261906
77,SAL FRUTA ENO LARANJA 2ENV - GSK (FR30),0.1039603960396039,12.53,0.0011615686708335
SAL FRUTA ENO LARANJA 2ENV - GSK (FR30),77,0.14,12.53,0.0011615686708335
HEPATILON 10ML - HERTZ (FR60),SAL FRUTA ENO LARANJA 2ENV - GSK (FR30),0.1009174311926605,12.163241590214067,0.0006084407323413
SAL FRUTA ENO LARANJA 2ENV - GSK (FR30),HEPATILON 10ML - HERTZ (FR60),0.0733333333333333,12.163241590214067,0.0006084407323413
SAL FRUTA ENO TRAD 2ENV - GSK (FR30),77,0.1231884057971014,11.02536231884058,0.0009403174954366
77,SAL FRUTA ENO TRAD 2ENV - GSK (FR30),0.0841584158415841,11.02536231884058,0.0009403174954366
7899095238763,HIDROCLOROTIAZI.MG CPR 25mg x 30,0.4230769230769231,10.378300803673936,0.0006084407323413
HIDROCLOROTIAZI.MG CPR 25mg x 30,7899095238763,0.0149253731343283,10.378300803673936,0.0006084407323413
CAPTOPRIL MG CPR 25mg x 30,HIDROCLOROTIAZI.MG CPR 25mg x 30,0.4,9.906301369863014,0.000774379113889
HIDROCLOROTIAZI.MG CPR 25mg x 30,CAPTOPRIL MG CPR 25mg x 30,0.0191780821917808,9.906301369863014,0.000774379113889
SAL FRUTA ENO LARANJA 2ENV - GSK (FR30),SAL FRUTA ENO TRAD 2ENV - GSK (FR30),0.0733333333333333,9.60719806763285,0.0006084407323413
SAL FRUTA ENO TRAD 2ENV - GSK (FR30),SAL FRUTA ENO LARANJA 2ENV - GSK (FR30),0.0797101449275362,9.607198067632847,0.0006084407323413
77,HEPATILON 10ML - HERTZ (FR60),0.0544554455445544,9.03211009174312,0.0006084407323413
HEPATILON 10ML - HERTZ (FR60),77,0.1009174311926605,9.03211009174312,0.0006084407323413
"ATENOLOL MG CPR 25mg x 30, LOSARTAN POTAS.MG CPR REVEST 50mg x 30",HIDROCLOROTIAZI.MG CPR 25mg x 30,0.1547619047619047,8.743563988095238,0.0007190663200398
7891058002916,7896641810695,0.0171232876712328,8.5992199391172,0.0005531279384921
7896641810695,7891058002916,0.2777777777777778,8.5992199391172,0.0005531279384921
"ATENOLOL MG CPR 25mg x 30, LOSARTAN POTAS.MG CPR REVEST 50mg x 30",HIDROCLOROTIAZI.MG CPR 25mg x 30,0.3409090909090909,8.442870485678704,0.0008296919077382
"CLOR.METFORMINA MG CPR REVEST 850MG x 30, LOSARTAN POTAS.MG CPR REVEST 50mg x 30",HIDROCLOROTIAZI.MG CPR 25mg x 30,0.34,8.420356164383563,0.0009403174954366
"HIDROCLOROTIAZI.MG CPR 25mg x 30, 7891721201806",ATENOLOL MG CPR 25mg x 30,0.1176470588235294,7.966071821987222,0.0012168814646827
"HIDROCLOROTIAZI.MG CPR 25mg x 30, LOSARTAN POTAS.MG CPR REVEST 50mg x 30",CLOR.METFORMINA MG CPR REVEST 850MG x 30,0.0758928571428571,7.840382653061224,0.0009403174954366
SINVASTATINA MG CPR REVEST 40mg x 30,HIDROCLOROTIAZI.MG CPR 25mg x 30,0.303030303030303,7.433493688581884,0.0005531279384921
HIDROCLOROTIAZI.MG CPR 25mg x 30,SINVASTATINA MG CPR REVEST 40mg x 30,0.0135685210312075,7.433493688581884,0.0005531279384921
"HIDROCLOROTIAZI.MG CPR 25mg x 30, LOSARTAN POTAS.MG CPR REVEST 50mg x 30",ATENOLOL MG CPR 25mg x 30,0.0669642857142857,7.206234056122449,0.0008296919077382
"ATENOLOL MG CPR 25mg x 30, 7891721201806",HIDROCLOROTIAZI.MG CPR 25mg x 30,0.2933333333333333,7.195621890547264,0.0012168814646827
14,AMOXICILINA MG CAPSULAS 500MG x 21,0.040625,7.062109375,0.0007190663200398
AMOXICILINA MG CAPSULAS 500MG x 21,14,0.125,7.062109375,0.0007190663200398
"ATENOLOL MG CPR 25mg x 30, LOSARTAN POTAS.MG CPR REVEST 50mg x 30",HIDROCLOROTIAZI.MG CPR 25mg x 30,0.2765957446808511,6.850102011075489,0.0007190663200398
"CLOR.METFORMINA MG CPR REVEST 850MG x 30, HIDROCLOROTIAZI.MG CPR 25mg x 30",LOSARTAN POTAS.MG CPR REVEST 50mg x 30,0.5151515151515151,6.758653296389145,0.0009403174954366
"SINVASTATINA MG CPR REVEST 20mg x 30, LOSARTAN POTAS.MG CPR REVEST 50mg x 30",HIDROCLOROTIAZI.MG CPR 25mg x 30,0.2727272727272727,6.754296388542963,0.0011615686708335
"ATENOLOL MG CPR 25mg x 30, LOSARTAN POTAS.MG CPR REVEST 50mg x 30",HIDROCLOROTIAZI.MG CPR 25mg x 30,0.2714285714285714,6.658286489629773,0.0010509430831351
ABLOK CPR 3X10 25mg x 30,ARADOIS CPR REVEST 50mg x 30,0.396551724137931,6.583341249485451,0.0050887770341279
ARADOIS CPR REVEST 50mg x 30,ABLOK CPR 3X10 25mg x 30,0.0844811753902663,6.58334124948545,0.0050887770341279
"SINVASTATINA MG CPR REVEST 20mg x 30, LOSARTAN POTAS.MG CPR REVEST 50mg x 30",ATENOLOL MG CPR 25mg x 30,0.1392405063291139,6.309095523619174,0.0006084407323413
"SINVASTATINA MG CPR REVEST 20mg x 30, HIDROCLOROTIAZI.MG CPR 25mg x 30",LOSARTAN POTAS.MG CPR REVEST 50mg x 30,0.5277777777777778,6.273303382277742,0.0010509430831351
"ATENOLOL MG CPR 25mg x 30, LOSARTAN POTAS.MG CPR REVEST 50mg x 30",HIDROCLOROTIAZI.MG CPR 25mg x 30,0.25,6.191438356164383,0.0005531279384921
"ATENOLOL MG CPR 25mg x 30, 7891721201806",HIDROCLOROTIAZI.MG CPR 25mg x 30,0.2444444444444444,6.0538508371385085,0.0006084407323413
"SINVASTATINA MG CPR REVEST 20mg x 30, LOSARTAN POTAS.MG CPR REVEST 50mg x 30",HIDROCLOROTIAZI.MG CPR 25mg x 30,0.240506329113924,5.956320443904977,0.0010509430831351
CLORIDRATO DE METFORMINA 500 MG MERCK,LOSARTAN POTAS.MG CPR REVEST 50mg x 30,0.4516129032258064,5.92504330727094,0.000774379113889
