freq,items
174,['7898087700110']
155,['0000023384248']
142,['1111111111111A']
97,['7891317422028']
97,['7896714213736']
96,['7891058002916']
89,['7896138700386']
76,['7898959897238']
74,['7896523200576']
72,['7896714231143']
70,['7896004703398']
67,['7896222720863']
62,['7896641810244']
62,['7894900010015']
60,['7898087700127']
51,['7891000107836']
51,['7908007905478']
48,['7896138700515']
48,['7896138700614']
47,['7898087700097']
44,['7896422519830']
44,['7891317427542']
40,['7897512900811']
40,['7891268187144']
40,['7896714207551']
40,['7898125712174']
39,['7898994914600']
39,['78939318']
39,['7896016807206']
38,['7896641810695']
36,['7898039563732']
34,['7891000460207']
34,['78912359']
34,['7896094903289']
34,['7896023733765']
34,['7891000248768']
33,['78938816']
31,['7896094912977']
31,['78939301']
29,['7896094910683']
28,['7896015511159']
28,['1220000290068']
28,['1234564A']
27,['7891721201806']
27,['7622210570086']
27,['7891010974930']
27,['7896138700072']
26,['7898060099965']
26,['7622210564313']
26,['7895144603223']
25,['7898687730500']
25,['7895144603063']
25,['78938830']
25,['7622210570116']
24,['7896094921399']
24,['7891058020316']
24,['7894900180503']
24,['7896094922105']
24,['7896523202822']
24,['7896423481853']
23,['7897799802464']
22,['80761761']
22,['7895800304211']
22,['7896094912298']
22,['78904231']
22,['7896523227573']
22,['7896523216812']
21,['7891058017507']
21,['7899547506839']
21,['7898039565453']
21,['7891317001636']
21,['7891268044409']
21,['7896422504454']
21,['7896006216797']
21,['78911222']
21,['7891058002961']
21,['7896004706764']
20,['7896843200164A']
20,['7622300988517']
20,['7896331703443']
20,['7891000062661']
20,['78900806']
20,['7898148294121']
20,['7891142115492']
20,['7891317450359']
20,['7896523216447']
20,['611269991000']
20,['7896213306076']
20,['7896110011141']
20,['7896094903104']
20,['7891010504755']
19,['7896253900913']
19,['7891000249239']
19,['78938793']
19,['7896227800829']
19,['7896212415618']
19,['7891317015060']
18,['7891317477592']
18,['7896714218267']
18,['7895296105040']
13,['7896015511166']
11,['78912366']
10,['7898415822019']
10,['7891000251133']
10,"['78939301', '78939318']"
10,['7896004812168']
10,['7898039566290']
9,['7891058464073']
9,"['7896094912977', '7896094903289']"
9,['7895858017316']
9,['7896023732935']
9,['7891800364798']
8,['78915398']
8,['7891000405703']
8,['7896094921979']
8,['7896658001901']
8,['7896112181729']
8,['80052760']
8,['7896663325115']
