sale_code,items,prediction
579043,"['7891317422028', '7896004733241']","['78915398', '7891000460207', '7891058017507', '7891024132005', '7896523200576', '7896138700515', '7896222720863', '7896641810695', '7891058002916', '7896262304351', '7896212478750', '7891317001636', '0000023384248', '7896714213736', '7898087700110', '7891317450359', '7896004703398', '7896004715049', '7896006216766', '7896004812168', '7896138700386', '7896006216544']"
579050,['7896222720863'],"['7896253900913', '7896523200576', '1111111111111A', '7891317422028', '7898087700110', '7896663325115', '7891000107836', '78900776', '7896641813146', '7896658005121', '7908007905478', '7896112127390']"
579053,"['7896422506236', '7891058002961', '7891058022181', '7896658000089', '7896422504744', '7896641812545']","['7896714207551', '7896714213736']"
579056,"['7898687730920', '1234564A']",[]
579057,"['7899547506839', '7896224410137', '7898939082616', '7891106914642', '7896523227566']","['0000023384248', '7896888500120']"
579059,"['4005900921635', '7896422504126', '7898148294121']","['7896015511159', '7891058002916']"
579071,['7896222720863'],"['7896253900913', '7896523200576', '1111111111111A', '7891317422028', '7898087700110', '7896663325115', '7891000107836', '78900776', '7896641813146', '7896658005121', '7908007905478', '7896112127390']"
579077,"['7896306623202', '78909434', '7896306623448', '78938830']","['7894900010015', '80052487', '7892840253745', '78938823', '78938878', '78938793', '7891268400014', '78938816', '7897517903916']"
579078,['7898087700097'],"['7898087700127', '7898087700110', '7896016807206']"
579080,"['7896224410649', '7896138700614', '7898125712174', '7891010695415', '7891182016247', '7891010504755']","['7891800001747', '7908414446731', '7896422507066', '7898903925093', '7898060099965', '7898415441326', '7896094922105', '7897780200323', '7896004715049', '7896094919396', '7891800002829', '7898661681002', '7896094917354', '7896138700072', '7891800364804', '7891800364798', '7896331706567', '0000023384248', '7891800000641', '7897512900811', '7898415822019', '7896015516970', '7896006201779', '7898157492501', '7896138700515', '7896641810244', '7896714213736', '7891463000378', '7896523216461', '7891463001771', '7891463000347']"
579092,"['0000023384248', '7896212478750', '7891317422028']","['78915398', '7891000460207', '7891058017507', '7891024132005', '7896523200576', '7896138700515', '7896222720863', '7896641810695', '7891058002916', '7896262304351', '7891317001636', '7896714213736', '7898087700110', '7891317450359', '7896004703398', '7896004715049', '7896006216766', '7896004812168', '7896138700386', '7896006216544', '7894916501415', '7896212479924', '7896006234067', '7896382707070', '7896006207306', '7896085111129', '7896112181729', '7896112144816', '7899547506839', '7896094912977', '7500435106610', '7896422515535', '7891317008703', '7891058003029', '7896222721198', '7897780200323', '7896714207551', '7891025112662', '7893736010053', '78906617', '7891800002829', '7896212415618', '7898661681002', '7896004769738', '7896523202822', '7896714213255', '7891800364798', '7896523207681', '7896138700614', '7891317427542', '7896007550890', '7896714219318', '7891010504755', '7896094910683', '7908007905478', '7898125712174', '7891800000641']"
579097,"['0000023384248', '1234564A']","['7894916501415', '7896212479924', '7896006234067', '7896382707070', '7896006207306', '7896085111129', '7896523200576', '7896112181729', '7896112144816', '7899547506839', '7896641810695', '7896094912977', '7891058002916', '7500435106610', '7896422515535', '7891317008703', '7896212478750', '7891058003029', '7896222721198', '7891317422028', '7897780200323', '7896714207551', '7891025112662', '7893736010053', '78906617', '7891800002829', '7896212415618', '7898661681002', '7896004769738', '7896523202822', '7896714213255', '7891800364798', '7896523207681', '7896138700614', '7891317427542', '7896007550890', '7896714219318', '7896714213736', '7891010504755', '7896094910683', '7908007905478', '7898125712174', '7891800000641']"
579104,"['7891268187144', '4005900715814', '7896641810695', '7891268400113']","['7895858017293', '7895858017316', '7896004803463', '7896094912298', '7891058002916', '7896641810244', '7896714213736', '7898087700110', '7896006216797', '7891058022822', '7898681350032', '7896094910683', '7896015511159', '7896111995341', '7897512900811', '7891317422028', '0000023384248', '7896004703398', '7896094912977']"
579112,"['78909434', '80052487', '7896306619458', '7891000249239', '7899970401206', '7899970401183']","['80761761', '7894900010015', '7892840253745', '78912366', '7891000248768']"
579117,['7896227800829'],[]
579121,"['7891058002916', '7896004703398']","['7891800341997', '7896006234067', '7895144603087', '7896015511159', '7891721201806', '7896641810695', '7896094912977', '7891317422028', '0000023384248', '7898087700110', '7896622305875', '7891106004213', '7898148294121', '7896422504492', '7896641810244', '7891268187144', '7896714218267', '7891010974930', '78939301', '7896422504386', '7891058022822', '78911222', '7891106913997', '7896094903104', '7891317427542', '7896423481853', '7894900010015', '7891142201676', '7896094904330', '7896212478750', '7896422520980', '7893736010053', '7896213306076', '7895296105040', '7896094999985', '7891317127800']"
579125,"['78936867', '7896523200576']","['1111111111111A', '7891317422028', '0000023384248', '7896714213736', '7896222720863', '7897780203126', '7896004713342', '7891010246952', '7896023732935', '7896523216447', '7896006207290', '78906884', '7898716450331', '7896006229964']"
579126,"['7891000405703', '7898087700110']","['7891000460207', '7896222720863', '7896094912977', '1111111111111A', '7895800304211', '7891058002916', '7896512945136', '7896014140459', '7896663327904', '7898087700127', '7896015530006', '7896015511166', '7899916904617', '7896094912298', '7896902208469', '7891317422028', '7896641810244', '7891268187144', '7896714218267', '7896714207551', '7898279792039', '7896004703398', '7898087700097', '7897799802464', '7898911246999', '7896046383015', '7500435106658', '7509546666426', '7896714213736', '7894900010015', '7896512921789', '7896138700386', '7892840808174', '7622300988517']"
579132,"['1234564A', '7896523206110', '7896014146437']",[]
579135,"['7891317001636', '7896015591809', '7896094201392']","['7891317422028', '7896714213736', '7896004715049']"
579137,"['7898039565453', '7899852001630']","['7891024115107', '7898039563732', '7898039566290']"
579138,"['4005900921635', '4005808315697', '7896094921849', '7896235353287', '7898039565453', '4005808837311', '7891010247409', '7896213306076']","['7891024115107', '7898039563732', '7898039566290', '7896004703398']"
579139,['1111111111111A'],"['7622300988517', '7898687730500', '7895144295664', '7895144603063', '78912359', '7896523200576', '7896222720863', '7898087700110', '80052760', '7891000107836', '7898959897238', '7896306623684', '7896004769738', '7891008121728', '7896138700072', '7894900010015', '7891010579616', '7896138700386', '7898647920330', '7891010589639']"
579141,"['7891268187144', '7898198860291', '7896112132974', '7896023776472']","['7895858017293', '7895858017316', '7896004803463', '7896094912298', '7891058002916', '7896641810244', '7896714213736', '7898087700110', '7896006216797', '7891058022822', '7898681350032', '7896094910683']"
579142,"['7896523227573', '7891317172657']","['78900806', '7896714231143', '7896006284369', '7891010986155']"
579151,"['7897572001596', '0000023384248']","['7894916501415', '7896212479924', '7896006234067', '7896382707070', '7896006207306', '7896085111129', '7896523200576', '7896112181729', '7896112144816', '7899547506839', '7896641810695', '7896094912977', '7891058002916', '7500435106610', '7896422515535', '7891317008703', '7896212478750', '7891058003029', '7896222721198', '7891317422028', '7897780200323', '7896714207551', '7891025112662', '7893736010053', '78906617', '7891800002829', '7896212415618', '7898661681002', '7896004769738', '7896523202822', '7896714213255', '7891800364798', '7896523207681', '7896138700614', '7891317427542', '7896007550890', '7896714219318', '7896714213736', '7891010504755', '7896094910683', '7908007905478', '7898125712174', '7891800000641']"
579152,['7908007905478'],"['7898639690418', '7896222720863', '0000023384248']"
579154,"['7896658001901', '7896138700386']","['7898932370734', '7898415822019', '7622300988470', '7891058464073', '7898932370727', '7896548113059', '7898959897238', '7891000097649', '7898950928511', '7891463000408', '7896212428861', '7896714231143', '7891463000378', '1111111111111A', '7891317422028', '7898087700110', '7896523223223', '7891010589639', '78911239']"
579161,"['0000023384248', '7896004760995']","['7894916501415', '7896212479924', '7896006234067', '7896382707070', '7896006207306', '7896085111129', '7896523200576', '7896112181729', '7896112144816', '7899547506839', '7896641810695', '7896094912977', '7891058002916', '7500435106610', '7896422515535', '7891317008703', '7896212478750', '7891058003029', '7896222721198', '7891317422028', '7897780200323', '7896714207551', '7891025112662', '7893736010053', '78906617', '7891800002829', '7896212415618', '7898661681002', '7896004769738', '7896523202822', '7896714213255', '7891800364798', '7896523207681', '7896138700614', '7891317427542', '7896007550890', '7896714219318', '7896714213736', '7891010504755', '7896094910683', '7908007905478', '7898125712174', '7891800000641']"
579164,"['7896235353911', '7891150075283', '7896006208266', '7891150075306', '7896213306076']",['7896004703398']
579175,"['7896714207551', '7896422507400']","['7896094921979', '0000023384248', '7896714213736', '7898087700110', '7891058002961']"
579185,"['7891317460532', '78904231']",['78900806']
579188,['7908007905478'],"['7898639690418', '7896222720863', '0000023384248']"
579192,"['78938816', '7898039566290', '7896007550814', '7898959897238', '7891010035631', '7898687730500']","['7898039565453', '7896641810244', '1111111111111A', '7891317412548', '7891010249908', '7891317120863', '1220000290068', '7897572001923', '7891010032906', '7896138700386', '7898039564975', '7896004769660', '7500435106658', '7896138700072', '7622210564337', '7891106908221', '78938793', '7622210696922', '78938830', '7622300847791']"
579198,"['7898961258324', '7898233931665', '7898961258102', '7898233931412', '7891721201806', '7896112149460', '7897129301513', '7891058169015']","['7891058002916', '7896023702105', '7891317427542']"
579199,"['7896023733765', '7896714275208']","['7896641810244', '7896422505741']"
579200,"['7896138700614', '7891317427542']","['7897512900811', '7898415822019', '7896015516970', '7896006201779', '7898157492501', '7896138700515', '7896641810244', '0000023384248', '7896714213736', '7891010504755', '7891463000378', '7898125712174', '7896523216461', '7891463001771', '7891463000347', '7896714211978', '7896112149460', '7891058002657', '7891317127404', '7891058002916']"
579207,['7891000107836'],"['78912359', '7894900180503', '7896222720863', '1111111111111A', '7894900010015', '7896423470697', '7891000248768']"
579214,['7898087700097'],"['7898087700127', '7898087700110', '7896016807206']"
579227,"['7891106004213', '7891000460207', '7891142141279', '7896014140596']","['7891317422028', '7898087700110', '7896019611749', '78938793', '7891000251133', '7891000118580', '7891058002916']"
579230,['7891000460207'],"['7891317422028', '7898087700110', '7896019611749', '78938793', '7891000251133', '7891000118580']"
579232,"['7896138700515', '7891463000408']","['7891317422028', '7896641810244', '7898060099965', '7897322709376', '7896138700614', '7896094211025', '7896138700386']"
579238,"['7898599213511', '7896311769315', '7898087700110']","['78912359', '7896423481853', '7891000460207', '7896222720863', '7896094912977', '1111111111111A', '7895800304211', '7891058002916', '7896512945136', '7896014140459', '7896663327904', '7898087700127', '7896015530006', '7896015511166', '7899916904617', '7896094912298', '7896902208469', '7891317422028', '7896641810244', '7891268187144', '7896714218267', '7896714207551', '7898279792039', '7896004703398', '7898087700097', '7897799802464', '7898911246999', '7896046383015', '7500435106658', '7509546666426', '7896714213736', '7894900010015', '7896512921789', '7896138700386', '7892840808174']"
579243,['7908007905478'],"['7898639690418', '7896222720863', '0000023384248']"
579244,"['7896235353904', '7896004703398', '7896213306076']","['7896641810695', '7896212478750', '7896422504492', '7896422520980', '7891010974930', '7891058002916', '7891317422028', '7898087700110', '7893736010053', '7895296105040', '7896094999985', '7891317127800']"
579245,"['7891000258590', '7898593052208', '7898958060886', '7898647920330', '1111111111111A', '7892840816254']","['7622300988517', '7898687730500', '7895144295664', '7895144603063', '78912359', '7896523200576', '7896222720863', '7898087700110', '80052760', '7891000107836', '7898959897238', '7896306623684', '7896004769738', '7891008121728', '7896138700072', '7894900010015', '7891010579616', '7896138700386', '7891010589639']"
579250,['7896138700515'],"['7891317422028', '7896641810244', '7898060099965', '7897322709376', '7891463000408', '7896138700614', '7896094211025']"
579256,"['7898573459454', '7896658004704', '7896004703398', '7891317476526', '7899706174985', '7896676427844', '7891142115492']","['7891058464073', '7896902210646', '7896641810695', '7896212478750', '7896422504492', '7896422520980', '7891010974930', '7891058002916', '7891317422028', '7898087700110', '7893736010053', '7896213306076', '7895296105040', '7896094999985', '7891317127800']"
